H,需給調整市場取引結果,対象年月日,取引年月日,商品区分,ブロック数
P,速報値,20210429,20210428,三次調整力2,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
B01,募集量（TSO別）[MW],0,0,0,3,0,0,3,8,5,19
B01,応札量合計（電源属地別）[MW],298.94,14,529.563,306.135,0,210,5,170,5,1538.638
B01,落札量合計（電源属地別）[MW],0,0,5,0,0,0,5,11,0,21
B01,最高落札価格（電源属地別）[円/kW],0,0,0.67,0,0,0,0.2,0.33,0
B01,最低落札価格（電源属地別）[円/kW],0,0,0.67,0,0,0,0.2,0.33,0
B01,平均落札価格（電源属地別）[円/kW],0,0,0.67,0,0,0,0.2,0.33,0
B01,落札量合計（TSO別）[MW],0,0,2,3,0,0,3,8,5,21
B01,（内訳）自エリアからの落札量[MW],0,0,2,0,0,0,3,8,0,13
B02,募集量（TSO別）[MW],93,134,0,30,9,0,0,20,40,326
B02,応札量合計（電源属地別）[MW],298.94,0,326,423.311,36,246,0,446,40,1816.251
B02,落札量合計（電源属地別）[MW],298.94,0,60.1,0,0,0,0,120,0,479.04
B02,最高落札価格（電源属地別）[円/kW],11.35,0,0.41,0,0,0,0,0.39,0
B02,最低落札価格（電源属地別）[円/kW],11.35,0,0.41,0,0,0,0,0.33,0
B02,平均落札価格（電源属地別）[円/kW],11.35,0,0.41,0,0,0,0,0.36,0
B02,落札量合計（TSO別）[MW],246.04,134,0,30,9,0,0,20,40,479.04
B02,（内訳）自エリアからの落札量[MW],246.04,0,0,0,0,0,0,20,0,266.04
B03,募集量（TSO別）[MW],160,424,0,30,20,0,0,73,220,927
B03,応札量合計（電源属地別）[MW],298.94,0,926.999,182.325,23,499.782,0,798,220,2949.046
B03,落札量合計（電源属地別）[MW],298.94,0,424,0,0,0,0,123,220,1065.94
B03,最高落札価格（電源属地別）[円/kW],11.72,0,0.41,0,0,0,0,0.53,4.44
B03,最低落札価格（電源属地別）[円/kW],11.72,0,0.41,0,0,0,0,0.03,4.44
B03,平均落札価格（電源属地別）[円/kW],11.72,0,0.41,0,0,0,0,0.23,4.44
B03,落札量合計（TSO別）[MW],298.94,424,0,30,20,0,0,73,220,1065.94
B03,（内訳）自エリアからの落札量[MW],298.94,0,0,0,0,0,0,73,220,591.94
B04,募集量（TSO別）[MW],218,833,310,30,12,112,30,125,134,1804
B04,応札量合計（電源属地別）[MW],298.94,0,1803.998,546.79,17,1558.263,30,793,134,5181.991
B04,落札量合計（電源属地別）[MW],298.94,0,1143,0,0,0,30,289,124,1884.94
B04,最高落札価格（電源属地別）[円/kW],11.81,0,0.41,0,0,0,0.66,1.4,5.27
B04,最低落札価格（電源属地別）[円/kW],11.81,0,0.41,0,0,0,0.2,0.03,5.27
B04,平均落札価格（電源属地別）[円/kW],11.81,0,0.41,0,0,0,0.5,0.45,5.27
B04,落札量合計（TSO別）[MW],298.94,833,310,30,12,112,30,125,134,1884.94
B04,（内訳）自エリアからの落札量[MW],298.94,0,310,0,0,0,30,125,124,887.94
B05,募集量（TSO別）[MW],194,691,106,30,5,75,482,134,1079,2796
B05,応札量合計（電源属地別）[MW],298.94,87,1897.988,433.54,56,1210.954,482,791,1079,6336.422
B05,落札量合計（電源属地別）[MW],298.94,0,1031.063,0,0,0,316.937,185,1069,2900.94
B05,最高落札価格（電源属地別）[円/kW],11.8,0,0.41,0,0,0,0.2,0.33,4.71
B05,最低落札価格（電源属地別）[円/kW],11.8,0,0.41,0,0,0,0.2,0.03,2.09
B05,平均落札価格（電源属地別）[円/kW],11.8,0,0.41,0,0,0,0.2,0.11,3.42
B05,落札量合計（TSO別）[MW],298.94,691,106,30,5,75,482,134,1079,2900.94
B05,（内訳）自エリアからの落札量[MW],298.94,0,106,0,0,0,316.937,134,1069,1924.877
