H,電力需給調整力取引所取引結果,対象年月日,取引年月日,商品区分,ブロック数
P,確報値,20220311,20220310,三次調整力2,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
B01,システム約定結果,募集量（TSO別）[MW],0,0,0,14,3,0,11,0,0,28
B01,システム約定結果,応札量合計（電源属地別）[MW],0,28,564.652,50.77,0,0,11,14,0,668.422
B01,システム約定結果,落札量合計（電源属地別）[MW],0,17,0,0,0,0,11,0,0,28
B01,システム約定結果,最高落札価格（電源属地別）[円/kW],0,1.02,0,0,0,0,0.2,0,0
B01,システム約定結果,最低落札価格（電源属地別）[円/kW],0,1.02,0,0,0,0,0.2,0,0
B01,システム約定結果,平均落札価格（電源属地別）[円/kW],0,1.02,0,0,0,0,0.2,0,0
B01,システム約定結果,落札量合計（TSO別）[MW],0,0,0,14,3,0,11,0,0,28
B01,システム約定結果,（内訳）自エリアからの落札量[MW],0,0,0,0,0,0,11,0,0,11
B01,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B01,追加調達結果,最高約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0
B01,追加調達結果,最低約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0
B01,追加調達結果,平均約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0
B01,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
B01,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
B01,合計（確報値）,募集量（TSO別）[MW],0,0,0,14,3,0,11,0,0,28
B01,合計（確報値）,応札量合計（電源属地別）[MW],0,28,564.652,50.77,0,0,11,14,0,668.422
B01,合計（確報値）,約定量合計（電源属地別）[MW],0,17,0,0,0,0,11,0,0,28
B01,合計（確報値）,最高約定価格（電源属地別）[円/kW],0,1.02,0,0,0,0,0.2,0,0
B01,合計（確報値）,最低約定価格（電源属地別）[円/kW],0,1.02,0,0,0,0,0.2,0,0
B01,合計（確報値）,平均約定価格（電源属地別）[円/kW],0,1.02,0,0,0,0,0.2,0,0
B01,合計（確報値）,約定量合計（TSO別）[MW],0,0,0,14,3,0,11,0,0,28
B01,合計（確報値）,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,11,0,0,11
B02,システム約定結果,募集量（TSO別）[MW],39,0,0,50,15,1,4,46,8,163
B02,システム約定結果,応札量合計（電源属地別）[MW],0,163,143.694,211,0,134,5,163,8,827.694
B02,システム約定結果,落札量合計（電源属地別）[MW],0,112,0,0,0,0,5,46,0,163
B02,システム約定結果,最高落札価格（電源属地別）[円/kW],0,1.92,0,0,0,0,0.2,0.41,0
B02,システム約定結果,最低落札価格（電源属地別）[円/kW],0,1.02,0,0,0,0,0.2,0.41,0
B02,システム約定結果,平均落札価格（電源属地別）[円/kW],0,1.85,0,0,0,0,0.2,0.41,0
B02,システム約定結果,落札量合計（TSO別）[MW],39,0,0,50,15,1,4,46,8,163
B02,システム約定結果,（内訳）自エリアからの落札量[MW],0,0,0,0,0,0,4,46,0,50
B02,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
B02,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B02,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
