H,連系線確保量,対象年月日,ブロック数,取引期間,,
P,速報値,20210505,8,日取引,,
T,順方向元エリア,逆方向元エリア,日取引：連系線確保量上限値（順方向）[MW],日取引：連系線確保量上限値（逆方向）[MW],三次調整力2：連系線確保量（順方向）[MW],三次調整力2：連系線確保量（逆方向）[MW]
B01,北海道,東北,,,,
B01,東北,東京,,,,
B01,東京,中部,,,,
B01,中部,関西,,,,
B01,中部,北陸,,,,
B01,北陸,関西,,,,
B01,関西,中国,,,,
B01,関西,四国,,,,
B01,中国,四国,,,,
B01,中国,九州,,,,
B02,北海道,東北,,,,
B02,東北,東京,,,,
B02,東京,中部,,,,
B02,中部,関西,,,,
B02,中部,北陸,,,,
B02,北陸,関西,,,,
B02,関西,中国,,,,
B02,関西,四国,,,,
B02,中国,四国,,,,
B02,中国,九州,,,,
B03,北海道,東北,,,,
B03,東北,東京,,,,
B03,東京,中部,,,,
B03,中部,関西,,,,
B03,中部,北陸,,,,
B03,北陸,関西,,,,
B03,関西,中国,,,,
B03,関西,四国,,,,
B03,中国,四国,,,,
B03,中国,九州,,,,
B04,北海道,東北,,,,
B04,東北,東京,,,,
B04,東京,中部,,,,
B04,中部,関西,,,,
B04,中部,北陸,,,,
B04,北陸,関西,,,,
B04,関西,中国,,,,
B04,関西,四国,,,,
B04,中国,四国,,,,
B04,中国,九州,,,,
B05,北海道,東北,,,,
B05,東北,東京,,,,
B05,東京,中部,,,,
B05,中部,関西,,,,
B05,中部,北陸,,,,
B05,北陸,関西,,,,
B05,関西,中国,,,,
B05,関西,四国,,,,
B05,中国,四国,,,,
B05,中国,九州,,,,
B06,北海道,東北,,,,
B06,東北,東京,,,,
B06,東京,中部,,,,
B06,中部,関西,,,,
B06,中部,北陸,,,,
B06,北陸,関西,,,,
B06,関西,中国,,,,
B06,関西,四国,,,,
B06,中国,四国,,,,
B06,中国,九州,,,,
B07,北海道,東北,,,,
B07,東北,東京,,,,
B07,東京,中部,,,,
B07,中部,関西,,,,
B07,中部,北陸,,,,
B07,北陸,関西,,,,
B07,関西,中国,,,,
B07,関西,四国,,,,
B07,中国,四国,,,,
B07,中国,九州,,,,
B08,北海道,東北,,,,
B08,東北,東京,,,,
B08,東京,中部,,,,
B08,中部,関西,,,,
B08,中部,北陸,,,,
B08,北陸,関西,,,,
B08,関西,中国,,,,
B08,関西,四国,,,,
B08,中国,四国,,,,
B08,中国,九州,,,,
E,,,,,,
