H,連系線確保量,対象年月日,ブロック数,取引期間
P,速報値,20220102,8,日取引
T,順方向元エリア,逆方向元エリア,日取引：連系線確保量上限値（順方向）[MW],日取引：連系線確保量上限値（逆方向）[MW],三次調整力2：連系線確保量（順方向）[MW],三次調整力2：連系線確保量（逆方向）[MW]
B01,北海道,東北,0,120,0,11
B01,東北,東京,1738.5,2330,0,136
B01,東京,中部,631.5,1500,0,136
B01,中部,関西,1080,0,0,0
B01,中部,北陸,300,300,0,136
B01,北陸,関西,1474.4,900,0,141
B01,関西,中国,2780,1754.38,3,0
B01,関西,四国,286,0,0,0
B01,中国,四国,1200,1088,0,0
B01,中国,九州,390,0,1,0
B02,北海道,東北,23.6,130,0,27
B02,東北,東京,2333,2330,23,0
B02,東京,中部,317.9,1500,23,0
B02,中部,関西,1060,0,0,0
B02,中部,北陸,300,0,0,0
B02,北陸,関西,1480,900,0,13
B02,関西,中国,2780,1737.214,59,0
B02,関西,四国,286,0,0,0
B02,中国,四国,1200,1057.9,50,0
B02,中国,九州,390,0,9,0
B03,北海道,東北,0,83.2,0,83.2
B03,東北,東京,2065.9,2330,0,97.2
B03,東京,中部,0,861.5,0,0
B03,中部,関西,950,0,0,0
B03,中部,北陸,300,211.7,0,211.7
B03,北陸,関西,1260.4,900,0,320.7
B03,関西,中国,2780,1925.744,264.306,0
B03,関西,四国,286,0,0,0
B03,中国,四国,1200,706,0,0
B03,中国,九州,90,0,90,0
B04,北海道,東北,0,0,0,0
B04,東北,東京,1951.5,2330,0,0
B04,東京,中部,1500,0,0,0
B04,中部,関西,560,0,0,0
B04,中部,北陸,300,300,0,300
B04,北陸,関西,1289.5,853.5,0,350
B04,関西,中国,2780,1344.658,69.661,151.939
B04,関西,四国,286,0,0,0
B04,中国,四国,1200,221.6,0,221.6
B04,中国,九州,90,0,90,0
B05,北海道,東北,150,0,150,0
B05,東北,東京,1960,2330,619,0
B05,東京,中部,1500,1.4,0,1.4
B05,中部,関西,550,0,0,0
B05,中部,北陸,300,300,0,300
B05,北陸,関西,1452.4,841.1,0,359
B05,関西,中国,2780,1467.144,0,226
B05,関西,四国,286,0,0,0
B05,中国,四国,1200,184.2,0,95.621
B05,中国,九州,90,0,90,0
B06,北海道,東北,37.5,0,0,0
B06,東北,東京,1545.2,2330,0,0
B06,東京,中部,1185.8,164,253.822,0
B06,中部,関西,700,0,0,0
B06,中部,北陸,300,0,0,0
B06,北陸,関西,1581.5,712.6,0,13
B06,関西,中国,2780,1230.156,534.632,0
B06,関西,四国,286,0,0,0
B06,中国,四国,1200,63.3,266,0
B06,中国,九州,90,0,90,0
B07,北海道,東北,0,130,0,0
B07,東北,東京,1734.3,2330,0,0
B07,東京,中部,246.6,1352.4,0,0
B07,中部,関西,1280,290,0,0
B07,中部,北陸,300,300,0,0
B07,北陸,関西,1465.5,837.1,0,21
B07,関西,中国,2780,1664.794,52,0
B07,関西,四国,286,0,0,0
B07,中国,四国,1200,738.9,19,0
B07,中国,九州,90,0,22,0
B08,北海道,東北,32.7,150,28.448,0
B08,東北,東京,1054.4,2330,28.448,0
B08,東京,中部,60.7,1113.2,28.448,0
B08,中部,関西,1110,0,53,0
B08,中部,北陸,300,300,0,0
B08,北陸,関西,1447.2,843.2,0,29
B08,関西,中国,2780,1650.49,29,0
B08,関西,四国,286,0,0,0
B08,中国,四国,1200,588.1,0,5
B08,中国,九州,90,0,6,0
E
