H,連系線確保量,対象年月日,ブロック数,取引期間
P,確報値,20220228,8,日取引
T,順方向元エリア,逆方向元エリア,日取引：連系線確保量上限値（順方向）[MW],日取引：連系線確保量上限値（逆方向）[MW],三次調整力2：連系線確保量（順方向）[MW],三次調整力2：連系線確保量（逆方向）[MW]
B01,北海道,東北,123.2,150,0,58
B01,東北,東京,760.8,2330,0,102
B01,東京,中部,944.5,1101.5,0,102
B01,中部,関西,1190,190.2,29,0
B01,中部,北陸,300,300,0,0
B01,北陸,関西,1660.9,728.8,0,23
B01,関西,中国,2780,1860.834,6,0
B01,関西,四国,286,304,0,0
B01,中国,四国,1200,1200,6,0
B01,中国,九州,370,0,0,0
B02,北海道,東北,150,150,0,32
B02,東北,東京,1320.3,2330,0,32
B02,東京,中部,1079.6,956.2,0,32
B02,中部,関西,1220,534.3,16,0
B02,中部,北陸,300,300,0,0
B02,北陸,関西,1826.8,646,0,15
B02,関西,中国,2780,1744.248,0,0
B02,関西,四国,286,656.9,0,0
B02,中国,四国,1200,1200,0,0
B02,中国,九州,370,0,0,0
B03,北海道,東北,150,150,0,38
B03,東北,東京,317.6,2330,317.6,0
B03,東京,中部,455,670.7,0,624.4
B03,中部,関西,789.9,1168,0,624.4
B03,中部,北陸,300,300,0,0
B03,北陸,関西,1724.8,833.5,0,77
B03,関西,中国,2780,1463.868,339,0
B03,関西,四国,286,236.6,0,0
B03,中国,四国,1200,1200,0,252
B03,中国,九州,150,0,150,0
B04,北海道,東北,150,150,0,150
B04,東北,東京,0.003,2125.4,0.003,0
B04,東京,中部,799.2,1343.6,0,1283.535
B04,中部,関西,993.957,870.564,0,870.564
B04,中部,北陸,300,300,0,103.971
B04,北陸,関西,1897.164,1236.3,0,193.971
B04,関西,中国,2780,796.116,5.065,614.835
B04,関西,四国,286,0,0,0
B04,中国,四国,1194,619.9,0,619.9
B04,中国,九州,150,0,0,0
B05,北海道,東北,150,0,0,0
B05,東北,東京,0.003,2125.4,0.003,0
B05,東京,中部,772.9,899,0,899
B05,中部,関西,923.957,437.164,0,437.164
B05,中部,北陸,300,300,0,170.005
B05,北陸,関西,1743.664,1513.9,0,289.005
B05,関西,中国,2780,698.958,92.69,0
B05,関西,四国,286,0,0,0
B05,中国,四国,1194,340,0,36
B05,中国,九州,150,0,150,0
B06,北海道,東北,150,150,0,0
B06,東北,東京,711.903,2125.4,0,0
B06,東京,中部,527.8,0,0,0
B06,中部,関西,1113.957,0,2.055,0
B06,中部,北陸,300,174.6,0,0
B06,北陸,関西,1713.664,1475.8,0,87
B06,関西,中国,2780,899.114,150,0
B06,関西,四国,286,0,0,0
B06,中国,四国,1194,462.3,0,130
B06,中国,九州,150,0,150,0
B07,北海道,東北,150,150,0,85
B07,東北,東京,1655.803,2125.4,73,0
B07,東京,中部,139.2,1106.1,73,0
B07,中部,関西,1294.257,1673.964,73,0
B07,中部,北陸,300,300,0,0
B07,北陸,関西,1519.9,1600,0,13
B07,関西,中国,2780,2001.918,150,0
B07,関西,四国,286,0,0,0
B07,中国,四国,1194,1139.1,0,92
B07,中国,九州,150,0,150,0
B08,北海道,東北,99.7,150,0,24
B08,東北,東京,1421.6,2330,0,24
B08,東京,中部,677.2,1261.4,0,24
B08,中部,関西,1290,823.5,0,24
B08,中部,北陸,300,300,0,0
B08,北陸,関西,1727.8,594,0,14
B08,関西,中国,2780,1816.25,17,43
B08,関西,四国,286,0,0,0
B08,中国,四国,1200,1194.8,0,60
B08,中国,九州,150,0,17,0
E
