H,連系線確保量,対象年月,ブロック数,取引期間
P,確報値,202309,8,日取引
T,順方向元エリア,逆方向元エリア,日取引：連系線確保量上限値（順方向）[MW],日取引：連系線確保量上限値（逆方向）[MW],三次調整力2：連系線確保量（順方向）[MW],三次調整力2：連系線確保量（逆方向）[MW]
20230901B01,北海道,東北,150,0,0,0
20230901B01,東北,東京,594.5,2328,0,22
20230901B01,東京,中部,1500,410.9,47,0
20230901B01,中部,関西,1070,0,47,0
20230901B01,中部,北陸,300,0,0,0
20230901B01,北陸,関西,1756.7,800,0,2
20230901B01,関西,中国,2780,2961.068,45,0
20230901B01,関西_関西-中国間(東),中国_関西-中国間(東),2780,2961.068,45,0
20230901B01,関西_関西-中国間(西),中国_関西-中国間(西),2780,2961.068,45,0
20230901B01,関西,四国,0,0,0,0
20230901B01,中国,四国,1200,511.3,37,0
20230901B01,中国,九州,380,231.8,0,0
20230901B02,北海道,東北,150,0,0,0
20230901B02,東北,東京,788.2,2328,0,147.872
20230901B02,東京,中部,1500,413.3,27,0
20230901B02,中部,関西,1110,0,0,0
20230901B02,中部,北陸,300,0,0,0
20230901B02,北陸,関西,1751.6,800,87,0
20230901B02,関西,中国,2780,3246.044,71,0
20230901B02,関西_関西-中国間(東),中国_関西-中国間(東),2780,3246.044,71,0
20230901B02,関西_関西-中国間(西),中国_関西-中国間(西),2780,3246.044,71,0
20230901B02,関西,四国,0,0,0,0
20230901B02,中国,四国,1200,579.1,69,0
20230901B02,中国,九州,380,274.6,0,0
20230901B03,北海道,東北,0,0,0,0
20230901B03,東北,東京,0,2328,0,11.868
20230901B03,東京,中部,0,0,0,0
20230901B03,中部,関西,1080,0,105.1,0
20230901B03,中部,北陸,300,0,0,0
20230901B03,北陸,関西,1625.6,537.4,0,0
20230901B03,関西,中国,2780,1915.766,0,213.416
20230901B03,関西_関西-中国間(東),中国_関西-中国間(東),2780,1915.766,0,213.416
20230901B03,関西_関西-中国間(西),中国_関西-中国間(西),2780,1915.766,0,213.416
20230901B03,関西,四国,0,0,0,0
20230901B03,中国,四国,1200,381,0,81
20230901B03,中国,九州,190,53.3,0,0
20230901B04,北海道,東北,0,0,0,0
20230901B04,東北,東京,0,2334,0,0
20230901B04,東京,中部,1050,0,111.242,0
20230901B04,中部,関西,1050,0,0,0
20230901B04,中部,北陸,300,197,0,0
20230901B04,北陸,関西,1610.6,1143.8,0,0
20230901B04,関西,中国,2680,1433.162,135,0
20230901B04,関西_関西-中国間(東),中国_関西-中国間(東),2680,1433.162,135,0
20230901B04,関西_関西-中国間(西),中国_関西-中国間(西),2680,1433.162,135,0
20230901B04,関西,四国,0,0,0,0
20230901B04,中国,四国,1200,0,135,0
20230901B04,中国,九州,90,0,0,0
20230901B05,北海道,東北,150,0,0,0
20230901B05,東北,東京,0,2334,0,0
20230901B05,東京,中部,1050,0,0,0
20230901B05,中部,関西,1010,907.5,116.1,0
20230901B05,中部,北陸,300,300,0,0
20230901B05,北陸,関西,1887.1,1278.6,0,0
20230901B05,関西,中国,2780,1384.624,354.535,0
20230901B05,関西_関西-中国間(東),中国_関西-中国間(東),2780,1384.624,354.535,0
20230901B05,関西_関西-中国間(西),中国_関西-中国間(西),2780,1384.624,354.535,0
20230901B05,関西,四国,0,0,0,0
20230901B05,中国,四国,1200,0,354.535,0
20230901B05,中国,九州,190,0,0,0
20230901B06,北海道,東北,0,0,0,0
20230901B06,東北,東京,1166,2334,0,0
20230901B06,東京,中部,1050,0,0,0
20230901B06,中部,関西,1300,87.8,0,0
20230901B06,中部,北陸,300,300,0,0
20230901B06,北陸,関西,1900,1058,0,0
20230901B06,関西,中国,2780,1340.776,0,0
