H,連系線確保量,対象年月,ブロック数,取引期間
P,速報値,202311,8,週取引
T,順方向元エリア,逆方向元エリア,週取引：連系線確保量上限値（順方向）[MW],週取引：連系線確保量上限値（逆方向）[MW],三次調整力1：連系線確保量（順方向）[MW],三次調整力1：連系線確保量（逆方向）[MW]
20231101B01,北海道,東北,150,0,0,0
20231101B01,東北,東京,981,2327,0,0
20231101B01,東京,中部,0,0,0,0
20231101B01,中部,関西,248,100,0,0
20231101B01,中部,北陸,300,300,0,0
20231101B01,北陸,関西,1330,70,0,0
20231101B01,関西,中国,3260,1870,0,0
20231101B01,関西_関西-中国間(東),中国_関西-中国間(東),3260,1870,0,0
20231101B01,関西_関西-中国間(西),中国_関西-中国間(西),3260,1870,0,0
20231101B01,関西,四国,0,1400,0,0
20231101B01,中国,四国,480,600,0,0
20231101B01,中国,九州,380,0,0,0
20231101B02,北海道,東北,150,0,0,0
20231101B02,東北,東京,981,2327,0,0
20231101B02,東京,中部,0,10,0,0
20231101B02,中部,関西,114,1000,0,0
20231101B02,中部,北陸,300,300,0,0
20231101B02,北陸,関西,1520,35,0,0
20231101B02,関西,中国,2982,1870,0,0
20231101B02,関西_関西-中国間(東),中国_関西-中国間(東),2982,1870,0,0
20231101B02,関西_関西-中国間(西),中国_関西-中国間(西),2982,1870,0,0
20231101B02,関西,四国,0,1400,0,0
20231101B02,中国,四国,480,720,0,0
20231101B02,中国,九州,380,10,0,0
20231101B03,北海道,東北,0,0,0,0
20231101B03,東北,東京,503.6,2327,0,722
20231101B03,東京,中部,0,0,0,0
20231101B03,中部,関西,43,0,0,0
20231101B03,中部,北陸,300,300,0,0
20231101B03,北陸,関西,1330,0,5,0
20231101B03,関西,中国,3260,279,0,29
20231101B03,関西_関西-中国間(東),中国_関西-中国間(東),3260,279,0,29
20231101B03,関西_関西-中国間(西),中国_関西-中国間(西),3260,279,0,0
20231101B03,関西,四国,0,1400,0,0
20231101B03,中国,四国,120,360,0,29
20231101B03,中国,九州,76,0,0,0
20231101B04,北海道,東北,0,0,0,0
20231101B04,東北,東京,677,2327,0,788
20231101B04,東京,中部,0,0,0,0
20231101B04,中部,関西,0,0,0,0
20231101B04,中部,北陸,300,300,0,0
20231101B04,北陸,関西,1140,260,0,0
20231101B04,関西,中国,758,150,44,0
20231101B04,関西_関西-中国間(東),中国_関西-中国間(東),758,150,44,0
20231101B04,関西_関西-中国間(西),中国_関西-中国間(西),758,150,44,0
20231101B04,関西,四国,0,1400,0,0
20231101B04,中国,四国,480,36,0,0
20231101B04,中国,九州,160,70,44,0
20231101B05,北海道,東北,0,0,0,0
20231101B05,東北,東京,677,2327,0,471
20231101B05,東京,中部,0,0,0,0
20231101B05,中部,関西,0,0,0,0
20231101B05,中部,北陸,300,300,0,0
20231101B05,北陸,関西,1140,390,0,0
20231101B05,関西,中国,3260,279,17,43
20231101B05,関西_関西-中国間(東),中国_関西-中国間(東),3260,279,0,43
20231101B05,関西_関西-中国間(西),中国_関西-中国間(西),3260,279,17,0
20231101B05,関西,四国,0,1400,0,20
20231101B05,中国,四国,480,60,0,60
20231101B05,中国,九州,160,0,17,0
20231101B06,北海道,東北,150,0,0,0
20231101B06,東北,東京,1099,2327,0,0
20231101B06,東京,中部,0,0,0,0
20231101B06,中部,関西,286,125,0,0
20231101B06,中部,北陸,300,300,0,0
20231101B06,北陸,関西,1330,390,0,0
20231101B06,関西,中国,3260,580,41.2,36
20231101B06,関西_関西-中国間(東),中国_関西-中国間(東),3260,580,0,36
20231101B06,関西_関西-中国間(西),中国_関西-中国間(西),3260,580,41.2,0
20231101B06,関西,四国,0,1400,0,0
20231101B06,中国,四国,480,120,0,77.2
20231101B06,中国,九州,41.2,130,41.2,0
20231101B07,北海道,東北,150,0,0,0
20231101B07,東北,東京,1281,2327,0,0
20231101B07,東京,中部,0,0,0,0
20231101B07,中部,関西,0,1900,0,0
20231101B07,中部,北陸,300,300,0,0
20231101B07,北陸,関西,1330,810,0,0
20231101B07,関西,中国,3260,1440,0,0
20231101B07,関西_関西-中国間(東),中国_関西-中国間(東),3260,1440,0,0
20231101B07,関西_関西-中国間(西),中国_関西-中国間(西),3260,1440,0,0
20231101B07,関西,四国,0,1400,0,0
20231101B07,中国,四国,480,240,0,0
20231101B07,中国,九州,160,210,0,0
20231101B08,北海道,東北,150,0,0,0
20231101B08,東北,東京,529,2327,0,0
20231101B08,東京,中部,0,0,0,0
20231101B08,中部,関西,181,400,0,0
20231101B08,中部,北陸,300,300,0,0
20231101B08,北陸,関西,1330,70,0,0
20231101B08,関西,中国,3260,1440,0,49
20231101B08,関西_関西-中国間(東),中国_関西-中国間(東),3260,1440,0,49
20231101B08,関西_関西-中国間(西),中国_関西-中国間(西),3260,1440,0,0
20231101B08,関西,四国,0,1400,0,0
20231101B08,中国,四国,480,600,0,49
20231101B08,中国,九州,160,0,0,0
20231102B01,北海道,東北,150,0,0,0
20231102B01,東北,東京,1321,2327,0,0
20231102B01,東京,中部,0,0,0,0
20231102B01,中部,関西,248,100,0,0
20231102B01,中部,北陸,300,300,0,0
20231102B01,北陸,関西,1330,70,0,0
20231102B01,関西,中国,3260,1870,0,0
20231102B01,関西_関西-中国間(東),中国_関西-中国間(東),3260,1870,0,0
20231102B01,関西_関西-中国間(西),中国_関西-中国間(西),3260,1870,0,0
20231102B01,関西,四国,0,1400,0,0
20231102B01,中国,四国,480,600,0,0
20231102B01,中国,九州,380,0,0,0
20231102B02,北海道,東北,150,0,0,0
20231102B02,東北,東京,1321,2327,0,0
20231102B02,東京,中部,0,10,0,0
20231102B02,中部,関西,114,1000,0,0
20231102B02,中部,北陸,300,300,0,0
20231102B02,北陸,関西,1520,35,0,0
20231102B02,関西,中国,2982,1870,0,0
20231102B02,関西_関西-中国間(東),中国_関西-中国間(東),2982,1870,0,0
20231102B02,関西_関西-中国間(西),中国_関西-中国間(西),2982,1870,0,0
20231102B02,関西,四国,0,1400,0,0
20231102B02,中国,四国,480,720,0,0
20231102B02,中国,九州,380,10,0,0
