H,連系線確保量,対象年月,ブロック数,取引期間
P,確報値,202308,8,週取引
T,順方向元エリア,逆方向元エリア,週取引：連系線確保量上限値（順方向）[MW],週取引：連系線確保量上限値（逆方向）[MW],三次調整力1：連系線確保量（順方向）[MW],三次調整力1：連系線確保量（逆方向）[MW]
20230801B01,北海道,東北,0,67,0,0
20230801B01,東北,東京,0,2327,0,0
20230801B01,東京,中部,0,0,0,0
20230801B01,中部,関西,888,0,0,0
20230801B01,中部,北陸,300,300,0,0
20230801B01,北陸,関西,190,400,0,0
20230801B01,関西,中国,2780,2100,0,0
20230801B01,関西_関西-中国間(東),中国_関西-中国間(東),2780,2100,0,0
20230801B01,関西_関西-中国間(西),中国_関西-中国間(西),2780,2100,0,0
20230801B01,関西,四国,0,1400,0,0
20230801B01,中国,四国,480,360,0,0
20230801B01,中国,九州,380,20,0,0
20230801B02,北海道,東北,0,67,0,0
20230801B02,東北,東京,0,2327,0,0
20230801B02,東京,中部,0,0,0,0
20230801B02,中部,関西,1009,0,0,0
20230801B02,中部,北陸,300,300,0,0
20230801B02,北陸,関西,190,480,0,0
20230801B02,関西,中国,2780,2100,0,13
20230801B02,関西_関西-中国間(東),中国_関西-中国間(東),2780,2100,0,13
20230801B02,関西_関西-中国間(西),中国_関西-中国間(西),2780,2100,0,13
20230801B02,関西,四国,0,1400,0,0
20230801B02,中国,四国,480,600,0,13
20230801B02,中国,九州,380,30,0,0
20230801B03,北海道,東北,0,47,0,0
20230801B03,東北,東京,0,2327,0,0
20230801B03,東京,中部,0,0,0,0
20230801B03,中部,関西,0,0,0,0
20230801B03,中部,北陸,300,300,0,0
20230801B03,北陸,関西,190,200,0,0
20230801B03,関西,中国,2780,1250,0,350
20230801B03,関西_関西-中国間(東),中国_関西-中国間(東),2780,1250,0,350
20230801B03,関西_関西-中国間(西),中国_関西-中国間(西),2780,1250,0,350
20230801B03,関西,四国,0,1400,0,0
20230801B03,中国,四国,480,360,0,350
20230801B03,中国,九州,210,0,0,0
20230801B04,北海道,東北,0,67,0,0
20230801B04,東北,東京,0,2327,0,3.736
20230801B04,東京,中部,0,0,0,0
20230801B04,中部,関西,0,75,0,38.22
20230801B04,中部,北陸,300,300,0,0
20230801B04,北陸,関西,570,900,11,0
20230801B04,関西,中国,2780,825,72.78,47.22
20230801B04,関西_関西-中国間(東),中国_関西-中国間(東),2780,825,72.78,47.22
20230801B04,関西_関西-中国間(西),中国_関西-中国間(西),2780,825,72.78,47.22
20230801B04,関西,四国,0,1400,0,271
20230801B04,中国,四国,360,120,0,120
20230801B04,中国,九州,210,210,0,0
20230801B05,北海道,東北,0,67,0,0
20230801B05,東北,東京,0,2327,0,11.736
20230801B05,東京,中部,0,0,0,0
20230801B05,中部,関西,0,0,0,0
20230801B05,中部,北陸,300,300,0,0
20230801B05,北陸,関西,570,900,0,0
20230801B05,関西,中国,2780,612.5,0,194.22
20230801B05,関西_関西-中国間(東),中国_関西-中国間(東),2780,612.5,0,194.22
20230801B05,関西_関西-中国間(西),中国_関西-中国間(西),2780,612.5,0,194.22
20230801B05,関西,四国,0,1400,0,0
20230801B05,中国,四国,360,240,0,171
20230801B05,中国,九州,210,360,0,0
20230801B06,北海道,東北,0,67,0,0
20230801B06,東北,東京,0,2327,0,0
20230801B06,東京,中部,0,0,0,0
20230801B06,中部,関西,131.6,0,0,0
20230801B06,中部,北陸,300,300,0,0
20230801B06,北陸,関西,190,1050,0,0
20230801B06,関西,中国,2780,825,0,0
20230801B06,関西_関西-中国間(東),中国_関西-中国間(東),2780,825,0,0
20230801B06,関西_関西-中国間(西),中国_関西-中国間(西),2780,825,0,0
20230801B06,関西,四国,0,1400,0,0
20230801B06,中国,四国,360,240,0,0
20230801B06,中国,九州,210,350,0,0
20230801B07,北海道,東北,22.9,87,0,0
20230801B07,東北,東京,87,2327,0,0
20230801B07,東京,中部,0,0,0,0
20230801B07,中部,関西,380,1300,0,0
20230801B07,中部,北陸,300,300,0,0
20230801B07,北陸,関西,190,1420,0,0
20230801B07,関西,中国,2502,2100,0,0
20230801B07,関西_関西-中国間(東),中国_関西-中国間(東),2502,2100,0,0
20230801B07,関西_関西-中国間(西),中国_関西-中国間(西),2502,2100,0,0
20230801B07,関西,四国,0,1400,0,0
20230801B07,中国,四国,360,840,0,0
20230801B07,中国,九州,210,480,0,0
20230801B08,北海道,東北,0,67,0,0
20230801B08,東北,東京,0,2327,0,48.736
20230801B08,東京,中部,0,0,0,0
20230801B08,中部,関西,90,200,0,0
20230801B08,中部,北陸,300,300,0,0
20230801B08,北陸,関西,380,560,0,0
20230801B08,関西,中国,2780,2100,0,0
