H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202501,複合商品,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20250101B01,システム約定結果,募集量（TSO別）[MW],233,525,1326,293,183,776,380,154,533,4403
20250101B01,システム約定結果,応札量合計（電源属地別）[MW],412.29,720,411.065,0,183,647.4,263.423,142,534.99,3314.168
20250101B01,システム約定結果,落札量合計（電源属地別）[MW],313,720,411.065,0,183,647.4,263.423,142,462.99,3142.878
20250101B01,システム約定結果,応札件数（電源属地別）[件],5,4,6,0,1,4,5,3,6,34
20250101B01,システム約定結果,落札件数（電源属地別）[件],4,4,6,0,1,4,5,3,6,33
20250101B01,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],5.47,4.33,0.34,0,0.34,6.47,0.79,1.2,19.5,19.5
20250101B01,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],1.96,2.48,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20250101B01,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],3.42,3.55,0.34,0,0.34,3.41,0.58,0.61,1.2,2.17
20250101B01,システム約定結果,最高落札価格（TSO別）[円/kW・30分],5.47,4.33,0.34,0,0.34,6.47,0.79,1.2,19.5,19.5
20250101B01,システム約定結果,最低落札価格（TSO別）[円/kW・30分],1.96,2.48,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20250101B01,システム約定結果,平均落札価格（TSO別）[円/kW・30分],3.42,3.55,0.34,0,0.34,3.36,0.58,0.61,1.2,2.17
20250101B01,システム約定結果,落札量合計（TSO別）[MW],313,720,411.065,0,172,658.4,263.423,142,462.99,3142.878
20250101B01,システム約定結果,（内訳）自エリアからの落札量[MW],313,720,411.065,0,172,647.4,263.423,142,462.99,3131.878
20250101B01,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250101B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250101B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250101B01,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250101B01,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250101B01,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250101B01,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250101B01,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250101B01,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250101B01,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250101B01,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250101B01,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250101B01,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250101B01,合計（確報値）,募集量（TSO別）[MW],233,525,1326,293,183,776,380,154,533,4403
20250101B01,合計（確報値）,応札量合計（電源属地別）[MW],412.29,960,411.065,0,183,647.4,263.423,142,534.99,3554.168
20250101B01,合計（確報値）,約定量合計（電源属地別）[MW],313,720,411.065,0,183,647.4,263.423,142,462.99,3142.878
20250101B01,合計（確報値）,応札件数（電源属地別）[件],5,6,6,0,1,4,5,3,6,36
20250101B01,合計（確報値）,約定件数（電源属地別）[件],4,5,6,0,1,4,5,3,6,34
20250101B01,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],5.47,4.33,0.34,0,0.34,6.47,0.79,1.2,19.5,19.5
20250101B01,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],1.96,1.94,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20250101B01,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],3.42,2.89,0.34,0,0.34,3.41,0.58,0.61,1.2,2.02
20250101B01,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],5.47,4.33,0.34,0,0.34,6.47,0.79,1.2,19.5,19.5
20250101B01,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],1.96,1.94,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20250101B01,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],3.42,2.89,0.34,0,0.34,3.36,0.58,0.61,1.2,2.02
20250101B01,合計（確報値）,約定量合計（TSO別）[MW],313,720,411.065,0,172,658.4,263.423,142,462.99,3142.878
20250101B01,合計（確報値）,（内訳）自エリアからの約定量[MW],313,720,411.065,0,172,647.4,263.423,142,462.99,3131.878
20250101B02,システム約定結果,募集量（TSO別）[MW],245,533,1218,292,161,747,340,139,485,4160
20250101B02,システム約定結果,応札量合計（電源属地別）[MW],387,720,683.564,0,161,647.4,312.338,135,486.99,3533.292
20250101B02,システム約定結果,落札量合計（電源属地別）[MW],312,720,683.564,0,161,647.4,312.338,135,412.99,3384.292
20250101B02,システム約定結果,応札件数（電源属地別）[件],3,4,7,0,1,4,6,3,6,34
