H,連系線確保量,対象年月,ブロック数,取引期間
P,確報値,202411,8,週取引
T,順方向元エリア,逆方向元エリア,週取引：連系線確保量上限値（順方向）[MW],週取引：連系線確保量上限値（逆方向）[MW],週取引：連系線確保量（順方向）[MW],週取引：連系線確保量（逆方向）[MW]
20241101B01,北海道,東北,26,0,0,0
20241101B01,東北,東京,0,2124,0,0
20241101B01,東京,中部,440,0,0,0
20241101B01,中部,関西,844,0,0,0
20241101B01,中部,北陸,270,0,0,0
20241101B01,北陸,関西,1140,100,21,0
20241101B01,関西,中国,2982,1567,0,64
20241101B01,関西_関西-中国間(東),中国_関西-中国間(東),2982,1567,0,64
20241101B01,関西_関西-中国間(西),中国_関西-中国間(西),2982,1567,0,64
20241101B01,関西,四国,0,0,0,0
20241101B01,中国,四国,0,600,0,0
20241101B01,中国,九州,359,0,0,0
20241101B02,北海道,東北,0,0,0,0
20241101B02,東北,東京,293.2,2124,183,0
20241101B02,東京,中部,440,0,0,0
20241101B02,中部,関西,964,0,0,0
20241101B02,中部,北陸,270,0,0,0
20241101B02,北陸,関西,1102,145,3,0
20241101B02,関西,中国,2982,1520.5,0,45
20241101B02,関西_関西-中国間(東),中国_関西-中国間(東),2982,1520.5,0,45
20241101B02,関西_関西-中国間(西),中国_関西-中国間(西),2982,1520.5,0,45
20241101B02,関西,四国,0,0,0,0
20241101B02,中国,四国,0,1080,0,0
20241101B02,中国,九州,389,0,0,0
20241101B03,北海道,東北,150,0,0,0
20241101B03,東北,東京,0,2124,0,170
20241101B03,東京,中部,0,0,0,0
20241101B03,中部,関西,794,0,0,0
20241101B03,中部,北陸,270,0,0,0
20241101B03,北陸,関西,988,160,34,0
20241101B03,関西,中国,2982,0,170,0
20241101B03,関西_関西-中国間(東),中国_関西-中国間(東),2982,0,170,0
20241101B03,関西_関西-中国間(西),中国_関西-中国間(西),2982,0,170,0
20241101B03,関西,四国,0,0,0,0
20241101B03,中国,四国,0,636,0,63.8
20241101B03,中国,九州,249,0,197,0
20241101B04,北海道,東北,150,0,0,0
20241101B04,東北,東京,0,2124,0,254.013
20241101B04,東京,中部,0,0,0,0
20241101B04,中部,関西,614,0,0,0
20241101B04,中部,北陸,270,0,0,0
20241101B04,北陸,関西,1102,730,21,0
20241101B04,関西,中国,2982,0,25,0
20241101B04,関西_関西-中国間(東),中国_関西-中国間(東),2982,0,25,0
20241101B04,関西_関西-中国間(西),中国_関西-中国間(西),2982,0,25,0
20241101B04,関西,四国,0,0,0,0
20241101B04,中国,四国,0,504,0,0
20241101B04,中国,九州,119,0,0,0
20241101B05,北海道,東北,150,0,0,0
20241101B05,東北,東京,0,2124,0,0
20241101B05,東京,中部,0,0,0,0
20241101B05,中部,関西,584,0,0,0
20241101B05,中部,北陸,270,0,0,0
20241101B05,北陸,関西,1197,775,21,0
20241101B05,関西,中国,2982,0,38.23,0
20241101B05,関西_関西-中国間(東),中国_関西-中国間(東),2982,0,38.23,0
20241101B05,関西_関西-中国間(西),中国_関西-中国間(西),2982,0,38.23,0
20241101B05,関西,四国,0,0,0,0
20241101B05,中国,四国,0,516,0,0.03
20241101B05,中国,九州,109,0,0,0
20241101B06,北海道,東北,119,0,0,0
20241101B06,東北,東京,0,2124,0,0
20241101B06,東京,中部,198,0,0,0
20241101B06,中部,関西,904,0,0,0
20241101B06,中部,北陸,270,0,0,0
20241101B06,北陸,関西,684,1105,16,0
20241101B06,関西,中国,2982,0,121.2,0
20241101B06,関西_関西-中国間(東),中国_関西-中国間(東),2982,0,121.2,0
20241101B06,関西_関西-中国間(西),中国_関西-中国間(西),2982,0,121.2,0
20241101B06,関西,四国,0,0,0,0
20241101B06,中国,四国,0,348,0,32
20241101B06,中国,九州,239,40,239,0
20241101B07,北海道,東北,20,0,0,0
20241101B07,東北,東京,517.2,2124,119,0
