H,連系線確保量,対象年月,ブロック数,取引期間,,
P,確報値,202503,8,週取引,,
T,順方向元エリア,逆方向元エリア,週取引：連系線確保量上限値（順方向）[MW],週取引：連系線確保量上限値（逆方向）[MW],週取引：連系線確保量（順方向）[MW],週取引：連系線確保量（逆方向）[MW]
20250301B01,北海道,東北,0,0,0,0
20250301B01,東北,東京,0,2124,0,0
20250301B01,東京,中部,0,303,0,0
20250301B01,中部,関西,824,0,0,0
20250301B01,中部,北陸,270,0,0,0
20250301B01,北陸,関西,1349,750,10,0
20250301B01,関西,中国,2982,2053,8.158,0
20250301B01,関西_関西-中国間(東),中国_関西-中国間(東),2982,2053,8.158,0
20250301B01,関西_関西-中国間(西),中国_関西-中国間(西),2982,2053,8.158,0
20250301B01,関西,四国,0,0,0,0
20250301B01,中国,四国,0,1008,0,0
20250301B01,中国,九州,349,0,112,0
20250301B02,北海道,東北,0,0,0,0
20250301B02,東北,東京,0,2124,0,0
20250301B02,東京,中部,0,1017,0,0
20250301B02,中部,関西,914,0,0,0
20250301B02,中部,北陸,270,0,0,0
20250301B02,北陸,関西,1330,750,0,0
20250301B02,関西,中国,2982,2332,97.158,0
20250301B02,関西_関西-中国間(東),中国_関西-中国間(東),2982,2332,97.158,0
20250301B02,関西_関西-中国間(西),中国_関西-中国間(西),2982,2332,97.158,0
20250301B02,関西,四国,0,0,0,0
20250301B02,中国,四国,0,1080,0,0
20250301B02,中国,九州,379,0,217,0
20250301B03,北海道,東北,0,0,0,0
20250301B03,東北,東京,0,2124,0,0
20250301B03,東京,中部,66,0,0,0
20250301B03,中部,関西,444,0,0,0
20250301B03,中部,北陸,270,0,0,0
20250301B03,北陸,関西,787,750,23,0
20250301B03,関西,中国,2982,1355.5,126,104.619
20250301B03,関西_関西-中国間(東),中国_関西-中国間(東),2982,1355.5,126,104.619
20250301B03,関西_関西-中国間(西),中国_関西-中国間(西),2982,1355.5,126,104.619
20250301B03,関西,四国,0,0,0,0
20250301B03,中国,四国,102,1056,3.774,74.27
20250301B03,中国,九州,139,0,111,0
20250301B04,北海道,東北,0,0,0,0
20250301B04,東北,東京,0,2124,0,112.2
20250301B04,東京,中部,297,0,0,0
20250301B04,中部,関西,284,0,0,0
20250301B04,中部,北陸,270,0,0,0
20250301B04,北陸,関西,749,750,10,0
20250301B04,関西,中国,2982,425.5,28,0
20250301B04,関西_関西-中国間(東),中国_関西-中国間(東),2982,425.5,28,0
20250301B04,関西_関西-中国間(西),中国_関西-中国間(西),2982,425.5,28,0
20250301B04,関西,四国,0,0,0,0
20250301B04,中国,四国,390,588,0,9.587
20250301B04,中国,九州,99,0,0,0
20250301B05,北海道,東北,0,0,0,0
20250301B05,東北,東京,0,2124,0,185
20250301B05,東京,中部,87,0,87,0
20250301B05,中部,関西,304,0,0,0
20250301B05,中部,北陸,270,0,0,0
20250301B05,北陸,関西,730,750,6,0
20250301B05,関西,中国,2982,193,50,35.939
20250301B05,関西_関西-中国間(東),中国_関西-中国間(東),2982,193,50,35.939
20250301B05,関西_関西-中国間(西),中国_関西-中国間(西),2982,193,50,35.939
20250301B05,関西,四国,0,0,0,0
20250301B05,中国,四国,678,384,0,31.898
20250301B05,中国,九州,99,0,0,0
20250301B06,北海道,東北,0,0,0,0
20250301B06,東北,東京,0,2124,0,0
20250301B06,東京,中部,0,0,0,0
20250301B06,中部,関西,384,0,0,0
20250301B06,中部,北陸,270,0,0,0
20250301B06,北陸,関西,616,750,7,0
20250301B06,関西,中国,2982,565,0,47.393
20250301B06,関西_関西-中国間(東),中国_関西-中国間(東),2982,565,0,47.393
20250301B06,関西_関西-中国間(西),中国_関西-中国間(西),2982,565,0,47.393
20250301B06,関西,四国,0,0,0,0
20250301B06,中国,四国,344,624,0,8
20250301B06,中国,九州,109,0,0,0
20250301B07,北海道,東北,0,0,0,0
20250301B07,東北,東京,0,2124,0,0
20250301B07,東京,中部,0,654,0,654
20250301B07,中部,関西,1004,275,7.948,170
