H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202508,一次オフライン,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20250801B01,募集量（TSO別）[MW],38,72,174,134,45,174,160,17,127,941
20250801B01,応札量合計（電源属地別）[MW],1.99,0,5.48,1.92,0,0,0,0,7.308,16.698
20250801B01,落札量合計（電源属地別）[MW],0,0,5.48,1.92,0,0,0,0,7.308,14.708
20250801B01,応札件数（電源属地別）[件],1,0,3,1,0,0,0,0,4,9
20250801B01,落札件数（電源属地別）[件],0,0,3,1,0,0,0,0,4,8
20250801B01,最高落札価格（電源属地別）[円/kW・30分],0,0,19.51,19.51,0,0,0,0,19.51,19.51
20250801B01,最低落札価格（電源属地別）[円/kW・30分],0,0,9.26,19.51,0,0,0,0,19,9.26
20250801B01,平均落札価格（電源属地別）[円/kW・30分],0,0,13.52,19.51,0,0,0,0,19.37,17.21
20250801B01,最高落札価格（TSO別）[円/kW・30分],0,0,19.51,0,0,19.51,0,0,19.51,19.51
20250801B01,最低落札価格（TSO別）[円/kW・30分],0,0,9.26,0,0,19.51,0,0,19,9.26
20250801B01,平均落札価格（TSO別）[円/kW・30分],0,0,13.52,0,0,19.51,0,0,19.37,17.21
20250801B01,落札量合計（TSO別）[MW],0,0,5.48,0,0,1.92,0,0,7.308,14.708
20250801B01,（内訳）自エリアからの落札量[MW],0,0,5.48,0,0,0,0,0,7.308,12.788
20250801B02,募集量（TSO別）[MW],42,72,161,138,46,171,158,17,131,936
20250801B02,応札量合計（電源属地別）[MW],1.99,0,5.48,1.92,0,0,1.8,0,7.308,18.498
20250801B02,落札量合計（電源属地別）[MW],0,0,5.48,1.92,0,0,1.8,0,7.308,16.508
20250801B02,応札件数（電源属地別）[件],1,0,3,1,0,0,1,0,4,10
20250801B02,落札件数（電源属地別）[件],0,0,3,1,0,0,1,0,4,9
20250801B02,最高落札価格（電源属地別）[円/kW・30分],0,0,19.51,19.51,0,0,19.51,0,19.51,19.51
20250801B02,最低落札価格（電源属地別）[円/kW・30分],0,0,9.26,19.51,0,0,19.51,0,19,9.26
20250801B02,平均落札価格（電源属地別）[円/kW・30分],0,0,13.52,19.51,0,0,19.51,0,19.37,17.46
20250801B02,最高落札価格（TSO別）[円/kW・30分],0,0,19.51,0,19.51,0,19.51,0,19.51,19.51
20250801B02,最低落札価格（TSO別）[円/kW・30分],0,0,9.26,0,19.51,0,19.51,0,19,9.26
20250801B02,平均落札価格（TSO別）[円/kW・30分],0,0,13.52,0,19.51,0,19.51,0,19.37,17.46
20250801B02,落札量合計（TSO別）[MW],0,0,5.48,0,1.92,0,1.8,0,7.308,16.508
20250801B02,（内訳）自エリアからの落札量[MW],0,0,5.48,0,0,0,1.8,0,7.308,14.588
20250801B03,募集量（TSO別）[MW],51,72,248,167,58,225,172,17,140,1150
20250801B03,応札量合計（電源属地別）[MW],0,0,7.448,1.92,0,0,1.8,0,5.419,16.587
20250801B03,落札量合計（電源属地別）[MW],0,0,7.448,1.92,0,0,1.8,0,5.419,16.587
20250801B03,応札件数（電源属地別）[件],0,0,4,1,0,0,1,0,3,9
20250801B03,落札件数（電源属地別）[件],0,0,4,1,0,0,1,0,3,9
20250801B03,最高落札価格（電源属地別）[円/kW・30分],0,0,19.51,19.51,0,0,19.51,0,19.51,19.51
20250801B03,最低落札価格（電源属地別）[円/kW・30分],0,0,9.26,19.51,0,0,19.51,0,19,9.26
20250801B03,平均落札価格（電源属地別）[円/kW・30分],0,0,15.1,19.51,0,0,19.51,0,19.32,17.47
20250801B03,最高落札価格（TSO別）[円/kW・30分],0,0,19.51,0,0,19.51,19.51,0,19.51,19.51
20250801B03,最低落札価格（TSO別）[円/kW・30分],0,0,9.26,0,0,19.51,19.51,0,19,9.26
20250801B03,平均落札価格（TSO別）[円/kW・30分],0,0,15.1,0,0,19.51,19.51,0,19.32,17.47
20250801B03,落札量合計（TSO別）[MW],0,0,7.448,0,0,1.92,1.8,0,5.419,16.587
20250801B03,（内訳）自エリアからの落札量[MW],0,0,7.448,0,0,0,1.8,0,5.419,14.667
20250801B04,募集量（TSO別）[MW],51,72,231,182,61,257,181,17,159,1211
20250801B04,応札量合計（電源属地別）[MW],1.99,0,7.968,1.92,0,1.85,1.8,0,11.082,26.61
20250801B04,落札量合計（電源属地別）[MW],1.3,0,7.968,1.92,0,1.85,1.8,0,11.082,25.92
20250801B04,応札件数（電源属地別）[件],1,0,7,1,0,1,1,0,6,17
20250801B04,落札件数（電源属地別）[件],1,0,7,1,0,1,1,0,6,17
20250801B04,最高落札価格（電源属地別）[円/kW・30分],5.7,0,19.5,19.51,0,18.56,19.51,0,19.51,19.51
20250801B04,最低落札価格（電源属地別）[円/kW・30分],5.7,0,19.5,19.51,0,18.56,19.51,0,19.5,5.7
20250801B04,平均落札価格（電源属地別）[円/kW・30分],5.7,0,19.5,19.51,0,18.56,19.51,0,19.5,18.74
20250801B04,最高落札価格（TSO別）[円/kW・30分],5.7,0,19.5,0,0,19.51,19.51,0,19.51,19.51
20250801B04,最低落札価格（TSO別）[円/kW・30分],5.7,0,19.5,0,0,18.56,19.51,0,19.5,5.7
20250801B04,平均落札価格（TSO別）[円/kW・30分],5.7,0,19.5,0,0,19.04,19.51,0,19.5,18.74
20250801B04,落札量合計（TSO別）[MW],1.3,0,7.968,0,0,3.77,1.8,0,11.082,25.92
20250801B04,（内訳）自エリアからの落札量[MW],1.3,0,7.968,0,0,1.85,1.8,0,11.082,24
20250801B05,募集量（TSO別）[MW],43,72,214,169,61,241,178,17,162,1157
20250801B05,応札量合計（電源属地別）[MW],1.99,0,4.968,1.92,0,1.85,1.8,0,5.309,17.837
20250801B05,落札量合計（電源属地別）[MW],0,0,4.968,1.92,0,1.85,1.8,0,5.309,15.847
20250801B05,応札件数（電源属地別）[件],1,0,4,1,0,1,1,0,3,11
20250801B05,落札件数（電源属地別）[件],0,0,4,1,0,1,1,0,3,10
20250801B05,最高落札価格（電源属地別）[円/kW・30分],0,0,19.5,19.51,0,18.56,19.51,0,19.51,19.51
20250801B05,最低落札価格（電源属地別）[円/kW・30分],0,0,19.5,19.51,0,18.56,19.51,0,19.5,18.56
20250801B05,平均落札価格（電源属地別）[円/kW・30分],0,0,19.5,19.51,0,18.56,19.51,0,19.5,19.39
20250801B05,最高落札価格（TSO別）[円/kW・30分],0,0,19.5,19.51,0,18.56,19.51,0,19.51,19.51
20250801B05,最低落札価格（TSO別）[円/kW・30分],0,0,19.5,19.51,0,18.56,19.51,0,19.5,18.56
20250801B05,平均落札価格（TSO別）[円/kW・30分],0,0,19.5,19.51,0,18.56,19.51,0,19.5,19.39
20250801B05,落札量合計（TSO別）[MW],0,0,4.968,1.92,0,1.85,1.8,0,5.309,15.847
20250801B05,（内訳）自エリアからの落札量[MW],0,0,4.968,1.92,0,1.85,1.8,0,5.309,15.847
20250801B06,募集量（TSO別）[MW],35,72,209,162,67,216,174,17,151,1103
20250801B06,応札量合計（電源属地別）[MW],0,0,7.968,1.92,0,1.85,1.8,0,12.567,26.105
20250801B06,落札量合計（電源属地別）[MW],0,0,7.968,1.92,0,1.85,1.8,0,12.567,26.105
20250801B06,応札件数（電源属地別）[件],0,0,7,1,0,1,1,0,7,17
20250801B06,落札件数（電源属地別）[件],0,0,7,1,0,1,1,0,7,17
20250801B06,最高落札価格（電源属地別）[円/kW・30分],0,0,19.5,19.51,0,18.56,19.51,0,19.51,19.51
20250801B06,最低落札価格（電源属地別）[円/kW・30分],0,0,19.5,19.51,0,18.56,19.51,0,19.5,18.56
20250801B06,平均落札価格（電源属地別）[円/kW・30分],0,0,19.5,19.51,0,18.56,19.51,0,19.51,19.44
20250801B06,最高落札価格（TSO別）[円/kW・30分],0,0,19.5,19.51,0,18.56,19.51,0,19.51,19.51
20250801B06,最低落札価格（TSO別）[円/kW・30分],0,0,19.5,19.51,0,18.56,19.51,0,19.5,18.56
20250801B06,平均落札価格（TSO別）[円/kW・30分],0,0,19.5,19.51,0,18.56,19.51,0,19.51,19.44
20250801B06,落札量合計（TSO別）[MW],0,0,7.968,1.92,0,1.85,1.8,0,12.567,26.105
20250801B06,（内訳）自エリアからの落札量[MW],0,0,7.968,1.92,0,1.85,1.8,0,12.567,26.105
20250801B07,募集量（TSO別）[MW],33,72,237,154,66,206,171,17,134,1090
