H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202504,二次調整力1,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20250401B01,システム約定結果,募集量（TSO別）[MW],120,263,815,221,96,463,238,75,275,2566
20250401B01,システム約定結果,応札量合計（電源属地別）[MW],184,68,64.726,0,102,394.885,253.6,64,223,1354.211
20250401B01,システム約定結果,落札量合計（電源属地別）[MW],138,68,64.726,0,102,394.885,238,64,223,1292.611
20250401B01,システム約定結果,応札件数（電源属地別）[件],3,4,2,0,1,5,8,4,5,32
20250401B01,システム約定結果,落札件数（電源属地別）[件],2,4,2,0,1,5,8,4,5,31
20250401B01,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],2.41,1.86,2.58,0,0.35,5.92,2.52,7.89,1.17,7.89
20250401B01,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],1.06,1.35,2.19,0,0.35,0.36,0.36,1.17,0.36,0.35
20250401B01,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],1.83,1.63,2.41,0,0.35,4.25,1.39,2.86,0.59,2.23
20250401B01,システム約定結果,最高落札価格（TSO別）[円/kW・30分],2.41,1.86,2.58,0,0.35,5.92,2.52,7.89,1.17,7.89
20250401B01,システム約定結果,最低落札価格（TSO別）[円/kW・30分],1.06,1.35,2.19,0,0.35,0.36,0.36,1.17,0.36,0.35
20250401B01,システム約定結果,平均落札価格（TSO別）[円/kW・30分],1.83,1.63,2.41,0,0.35,4.25,1.39,2.86,0.59,2.23
20250401B01,システム約定結果,落札量合計（TSO別）[MW],138,68,64.726,0,102,394.885,238,64,223,1292.611
20250401B01,システム約定結果,（内訳）自エリアからの落札量[MW],138,68,64.726,0,102,394.885,238,64,223,1292.611
20250401B01,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250401B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250401B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250401B01,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250401B01,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250401B01,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250401B01,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250401B01,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250401B01,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250401B01,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250401B01,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250401B01,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250401B01,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250401B01,合計（確報値）,募集量（TSO別）[MW],120,263,815,221,96,463,238,75,275,2566
20250401B01,合計（確報値）,応札量合計（電源属地別）[MW],184,68,64.726,0,102,394.885,253.6,64,223,1354.211
20250401B01,合計（確報値）,約定量合計（電源属地別）[MW],138,68,64.726,0,102,394.885,238,30,223,1258.611
20250401B01,合計（確報値）,応札件数（電源属地別）[件],3,4,2,0,1,5,8,4,5,32
20250401B01,合計（確報値）,約定件数（電源属地別）[件],2,4,2,0,1,5,8,2,5,29
20250401B01,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],2.41,1.86,2.58,0,0.35,5.92,2.52,7.89,1.17,7.89
20250401B01,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],1.06,1.35,2.19,0,0.35,0.36,0.36,1.65,0.36,0.35
20250401B01,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],1.83,1.63,2.41,0,0.35,4.25,1.39,4.77,0.59,2.25
20250401B01,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],2.41,1.86,2.58,0,0.35,5.92,2.52,7.89,1.17,7.89
20250401B01,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],1.06,1.35,2.19,0,0.35,0.36,0.36,1.65,0.36,0.35
20250401B01,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],1.83,1.63,2.41,0,0.35,4.25,1.39,4.77,0.59,2.25
20250401B01,合計（確報値）,約定量合計（TSO別）[MW],138,68,64.726,0,102,394.885,238,30,223,1258.611
20250401B01,合計（確報値）,（内訳）自エリアからの約定量[MW],138,68,64.726,0,102,394.885,238,30,223,1258.611
20250401B02,システム約定結果,募集量（TSO別）[MW],115,269,814,234,99,478,234,82,293,2618
20250401B02,システム約定結果,応札量合計（電源属地別）[MW],183,68,0,0,102,394.885,253.6,64,402,1467.485
20250401B02,システム約定結果,落札量合計（電源属地別）[MW],163,68,0,0,102,394.885,253.6,64,297.826,1343.311
20250401B02,システム約定結果,応札件数（電源属地別）[件],2,4,0,0,1,5,8,4,6,30
20250401B02,システム約定結果,落札件数（電源属地別）[件],2,4,0,0,1,5,8,4,6,30
20250401B02,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],2.27,1.62,0,0,0.35,6.71,3.14,2.25,1.89,6.71
20250401B02,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],1.61,0.99,0,0,0.35,0.36,0.36,0.73,0.36,0.35
20250401B02,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],1.93,1.38,0,0,0.35,4.8,1.62,1.16,0.81,2.28
20250401B02,システム約定結果,最高落札価格（TSO別）[円/kW・30分],2.27,1.62,0,0,0.35,6.71,3.14,2.25,1.89,6.71
20250401B02,システム約定結果,最低落札価格（TSO別）[円/kW・30分],1.61,0.99,0,0,0.35,0.36,0.36,0.73,0.36,0.35
20250401B02,システム約定結果,平均落札価格（TSO別）[円/kW・30分],1.93,1.38,0,0,0.35,4.8,1.62,1.16,0.81,2.28
20250401B02,システム約定結果,落札量合計（TSO別）[MW],163,68,0,0,102,394.885,253.6,64,297.826,1343.311
20250401B02,システム約定結果,（内訳）自エリアからの落札量[MW],163,68,0,0,102,394.885,253.6,64,297.826,1343.311
20250401B02,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250401B02,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250401B02,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250401B02,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250401B02,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250401B02,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250401B02,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250401B02,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250401B02,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250401B02,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
