H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202602,二次調整力2,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260201B01,システム約定結果,募集量（TSO別）[MW],3,0,0,91,24,0,0,27,0,145
20260201B01,システム約定結果,応札量合計（電源属地別）[MW],192.59,89,238.39,303.666,69,701.404,304.51,30,352,2280.56
20260201B01,システム約定結果,落札量合計（電源属地別）[MW],19.59,70,238.39,202.464,69,218.186,163.208,30,157,1167.838
20260201B01,システム約定結果,応札件数（電源属地別）[件],6,1,3,7,1,6,7,2,7,40
20260201B01,システム約定結果,落札件数（電源属地別）[件],3,1,3,6,1,5,7,2,6,34
20260201B01,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],4.4,2.36,2.68,2.98,1.51,8.2,2.42,6.53,2.04,8.2
20260201B01,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],2.45,2.36,2.22,1.65,1.51,0.36,0.36,1.13,0.36,0.36
20260201B01,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],2.83,2.36,2.46,2.41,1.51,3.32,1.58,3.83,1.28,2.31
20260201B01,システム約定結果,最高落札価格（TSO別）[円/kW・30分],4.4,2.36,2.68,2.98,1.51,8.2,2.42,8.2,2.04,8.2
20260201B01,システム約定結果,最低落札価格（TSO別）[円/kW・30分],2.45,2.36,2.22,1.65,1.51,0.36,0.36,1.13,0.36,0.36
20260201B01,システム約定結果,平均落札価格（TSO別）[円/kW・30分],2.83,2.36,2.46,2.41,1.51,3.09,1.58,4.92,1.28,2.31
20260201B01,システム約定結果,落札量合計（TSO別）[MW],19.59,70,238.39,202.464,69,208.186,163.208,40,157,1167.838
20260201B01,システム約定結果,（内訳）自エリアからの落札量[MW],19.59,70,238.39,202.464,69,208.186,163.208,30,157,1157.838
20260201B01,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20260201B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260201B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260201B01,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
