H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202507,三次調整力1,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20250701B01,システム約定結果,募集量（TSO別）[MW],288,0,311,0,0,0,105,99,0,803
20250701B01,システム約定結果,応札量合計（電源属地別）[MW],22.3,150,276.804,332,54,581.5,470.401,121,180,2188.005
20250701B01,システム約定結果,落札量合計（電源属地別）[MW],22.3,150,118,271.759,54,120.792,216,50,87,1089.851
20250701B01,システム約定結果,応札件数（電源属地別）[件],3,1,3,5,1,4,6,5,4,32
20250701B01,システム約定結果,落札件数（電源属地別）[件],3,1,2,5,1,3,5,4,4,28
20250701B01,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],19.51,3.69,0.36,12.43,14.5,5.59,1.94,7.86,0.96,19.51
20250701B01,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],7.93,3.69,0.36,3.72,14.5,0.36,0.36,1.16,0.36,0.36
20250701B01,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],9.12,3.69,0.36,4.59,14.5,3.52,1.79,2.45,0.78,3.52
20250701B01,システム約定結果,最高落札価格（TSO別）[円/kW・30分],19.51,0,3.99,12.43,14.5,5.59,1.94,7.86,0.96,19.51
20250701B01,システム約定結果,最低落札価格（TSO別）[円/kW・30分],3.69,0,0.36,3.72,14.5,0.36,0.36,0.36,0.36,0.36
20250701B01,システム約定結果,平均落札価格（TSO別）[円/kW・30分],6.77,0,2.46,4.79,14.5,1.33,1.79,4.19,0.78,3.52
20250701B01,システム約定結果,落札量合計（TSO別）[MW],39.3,0,311,211.759,54,58.812,215.98,112,87,1089.851
20250701B01,システム約定結果,（内訳）自エリアからの落札量[MW],22.3,0,118,211.759,54,58.812,215.98,50,87,817.851
20250701B01,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250701B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250701B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250701B01,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250701B01,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250701B01,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250701B01,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250701B01,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250701B01,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250701B01,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250701B01,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250701B01,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250701B01,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250701B01,合計（確報値）,募集量（TSO別）[MW],288,0,311,0,0,0,105,99,0,803
20250701B01,合計（確報値）,応札量合計（電源属地別）[MW],22.3,150,276.804,332,54,581.5,470.401,121,180,2188.005
20250701B01,合計（確報値）,約定量合計（電源属地別）[MW],22.3,150,118,267.807,54,120.792,216,50,87,1085.899
20250701B01,合計（確報値）,応札件数（電源属地別）[件],3,1,3,5,1,4,6,5,4,32
20250701B01,合計（確報値）,約定件数（電源属地別）[件],3,1,2,4,1,3,5,4,4,27
20250701B01,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],19.51,3.69,0.36,8.9,14.5,5.59,1.94,7.86,0.96,19.51
20250701B01,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],7.93,3.69,0.36,3.72,14.5,0.36,0.36,1.16,0.36,0.36
20250701B01,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],9.12,3.69,0.36,4.48,14.5,3.52,1.79,2.45,0.78,3.48
20250701B01,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],19.51,0,3.99,8.9,14.5,5.59,1.94,7.86,0.96,19.51
20250701B01,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],3.69,0,0.36,3.72,14.5,0.36,0.36,0.36,0.36,0.36
20250701B01,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],6.77,0,2.46,4.65,14.5,1.33,1.79,4.19,0.78,3.48
20250701B01,合計（確報値）,約定量合計（TSO別）[MW],39.3,0,311,207.807,54,58.812,215.98,112,87,1085.899
20250701B01,合計（確報値）,（内訳）自エリアからの約定量[MW],22.3,0,118,207.807,54,58.812,215.98,50,87,813.899
20250701B02,システム約定結果,募集量（TSO別）[MW],289,0,143,0,0,37,47,90,0,606
20250701B02,システム約定結果,応札量合計（電源属地別）[MW],21,150,435.493,580,68,581.5,470.401,127,206,2639.394
20250701B02,システム約定結果,落札量合計（電源属地別）[MW],21,150,0,507.711,68,120.792,216,65,146,1294.503
20250701B02,システム約定結果,応札件数（電源属地別）[件],2,1,5,6,1,4,6,5,6,36
20250701B02,システム約定結果,落札件数（電源属地別）[件],2,1,0,6,1,3,5,4,5,27
20250701B02,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],19.51,3.88,0,7.79,11.52,5.9,2.33,7.96,1.09,19.51
20250701B02,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],5.15,3.88,0,3.44,11.52,0.36,0.36,1.02,0.36,0.36
20250701B02,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],5.83,3.88,0,5.25,11.52,3.7,2.09,2.98,0.68,4.13
20250701B02,システム約定結果,最高落札価格（TSO別）[円/kW・30分],19.51,3.88,7.79,7.79,11.52,5.9,2.33,11.52,1.09,19.51
20250701B02,システム約定結果,最低落札価格（TSO別）[円/kW・30分],5.15,3.88,3.88,3.44,11.52,0.36,0.36,0.36,0.36,0.36
20250701B02,システム約定結果,平均落札価格（TSO別）[円/kW・30分],5.83,3.88,4.52,5.23,11.52,2.98,2.09,4.7,0.68,4.13
20250701B02,システム約定結果,落札量合計（TSO別）[MW],21,67,143,447.711,56.832,91,215.96,106,146,1294.503
20250701B02,システム約定結果,（内訳）自エリアからの落札量[MW],21,67,0,447.711,56.832,91,215.96,65,146,1110.503
20250701B02,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250701B02,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250701B02,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250701B02,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250701B02,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
