H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202603,複合商品,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260314B01,募集量（TSO別）[MW],52,367,461,108,117,567,293,93,368,2426
20260314B01,応札量合計（電源属地別）[MW],63.408,631.35,1109.041,691.131,206,646.004,243.063,114.93,500.75,4205.677
20260314B01,落札量合計（電源属地別）[MW],47.7,249.35,391.389,143.222,106,492.868,243.063,93,368,2134.592
20260314B01,応札件数（電源属地別）[件],6,4,34,20,1,6,6,6,13,96
20260314B01,落札件数（電源属地別）[件],6,4,30,5,1,6,6,6,7,71
20260314B01,最高落札価格（電源属地別）[円/kW・30分],4.59,15,15,1.57,1.33,15,12.72,9.79,6.03,15
20260314B01,最低落札価格（電源属地別）[円/kW・30分],0.95,1.52,0.36,0.36,1.33,0.36,0.9,0.35,3.83,0.35
20260314B01,平均落札価格（電源属地別）[円/kW・30分],3.15,1.81,1.74,0.7,1.33,0.47,5.96,4.78,4.62,2.51
20260314B01,最高落札価格（TSO別）[円/kW・30分],4.59,15,15,1.57,1.33,15,12.72,9.79,6.03,15
20260314B01,最低落札価格（TSO別）[円/kW・30分],0.95,1.52,0.36,0.36,1.33,0.36,0.9,0.35,3.83,0.35
20260314B01,平均落札価格（TSO別）[円/kW・30分],3.15,1.81,1.74,0.7,1.33,0.47,5.96,4.78,4.62,2.51
20260314B01,落札量合計（TSO別）[MW],47.7,249.35,391.389,143.222,106,492.868,243.063,93,368,2134.592
20260314B01,（内訳）自エリアからの落札量[MW],47.7,249.35,391.389,143.222,106,492.868,243.063,93,368,2134.592
20260314B02,募集量（TSO別）[MW],53,367,461,108,117,567,293,93,369,2428
20260314B02,応札量合計（電源属地別）[MW],51.408,631.35,1533.871,509.263,206,1148.734,243.063,144.93,464.75,4933.369
20260314B02,落札量合計（電源属地別）[MW],38,249.35,522.333,108,106,492.868,243.063,93,369,2221.614
20260314B02,応札件数（電源属地別）[件],5,4,37,17,1,7,6,5,13,95
20260314B02,落札件数（電源属地別）[件],5,4,31,5,1,6,6,4,7,69
20260314B02,最高落札価格（電源属地別）[円/kW・30分],4.59,15,15,2.56,2.22,15,12.43,4.78,6.36,15
20260314B02,最低落札価格（電源属地別）[円/kW・30分],0.95,1.3,0.36,0.5,2.22,0.92,1.23,0.35,4.16,0.35
20260314B02,平均落札価格（電源属地別）[円/kW・30分],3.82,1.62,1.8,0.96,2.22,1.3,5.91,3.12,4.95,2.71
20260314B02,最高落札価格（TSO別）[円/kW・30分],4.59,15,15,2.56,2.22,15,12.43,4.78,6.36,15
20260314B02,最低落札価格（TSO別）[円/kW・30分],0.95,1.3,0.36,0.5,2.22,0.92,1.23,0.35,4.16,0.35
20260314B02,平均落札価格（TSO別）[円/kW・30分],3.82,1.62,1.8,0.96,2.22,1.3,5.91,3.12,4.95,2.71
20260314B02,落札量合計（TSO別）[MW],38,249.35,522.333,108,106,492.868,243.063,93,369,2221.614
20260314B02,（内訳）自エリアからの落札量[MW],38,249.35,522.333,108,106,492.868,243.063,93,369,2221.614
20260314B03,募集量（TSO別）[MW],58,367,461,108,117,567,293,93,368,2432
20260314B03,応札量合計（電源属地別）[MW],51.408,631.35,1274.677,460.453,204.034,885.572,243.063,133,464.75,4348.307
20260314B03,落札量合計（電源属地別）[MW],38.7,249.35,480.564,125.53,106,490.87,243.063,93,368,2195.077
20260314B03,応札件数（電源属地別）[件],5,4,29,13,1,5,6,5,13,81
20260314B03,落札件数（電源属地別）[件],5,4,24,4,1,5,6,4,7,60
20260314B03,最高落札価格（電源属地別）[円/kW・30分],4.59,15,15,2.35,2.22,9.98,12.47,9.67,6.31,15
20260314B03,最低落札価格（電源属地別）[円/kW・30分],0.95,1.3,0.36,0.5,2.22,0.92,1.17,0.35,4.1,0.35
20260314B03,平均落札価格（電源属地別）[円/kW・30分],3.83,1.62,1.63,1.34,2.22,1.29,5.92,4.37,4.9,2.74
20260314B03,最高落札価格（TSO別）[円/kW・30分],4.59,15,15,2.35,2.22,9.98,12.47,9.67,6.31,15
20260314B03,最低落札価格（TSO別）[円/kW・30分],0.95,1.3,0.36,0.5,2.22,0.92,1.17,0.35,4.1,0.35
20260314B03,平均落札価格（TSO別）[円/kW・30分],3.83,1.62,1.63,1.34,2.22,1.29,5.92,4.37,4.9,2.74
20260314B03,落札量合計（TSO別）[MW],38.7,249.35,480.564,125.53,106,490.87,243.063,93,368,2195.077
20260314B03,（内訳）自エリアからの落札量[MW],38.7,249.35,480.564,125.53,106,490.87,243.063,93,368,2195.077
20260314B04,募集量（TSO別）[MW],61,367,461,108,116,567,291,93,363,2427
20260314B04,応札量合計（電源属地別）[MW],51.408,631.35,1892.124,449.085,147.798,356.266,243.063,99,506.75,4376.844
20260314B04,落札量合計（電源属地別）[MW],39,249.35,601.628,152.374,106,356.266,243.063,93,363,2203.681
20260314B04,応札件数（電源属地別）[件],5,4,41,17,1,3,6,5,13,95
20260314B04,落札件数（電源属地別）[件],5,4,34,5,1,3,6,5,7,70
20260314B04,最高落札価格（電源属地別）[円/kW・30分],4.59,15,15,2.57,2.11,6.98,12.43,9.96,6.36,15
20260314B04,最低落札価格（電源属地別）[円/kW・30分],1.1,1.39,0.36,0.5,2.11,0.8,1.23,0.35,4.16,0.35
20260314B04,平均落札価格（電源属地別）[円/kW・30分],3.88,1.7,1.75,1.08,2.11,0.99,5.91,6.16,4.96,2.8
20260314B04,最高落札価格（TSO別）[円/kW・30分],4.59,15,15,2.57,2.11,6.98,12.43,9.96,6.36,15
20260314B04,最低落札価格（TSO別）[円/kW・30分],1.1,1.39,0.36,0.5,2.11,0.8,1.23,0.35,4.16,0.35
20260314B04,平均落札価格（TSO別）[円/kW・30分],3.88,1.7,1.75,1.08,2.11,0.99,5.91,6.16,4.96,2.8
20260314B04,落札量合計（TSO別）[MW],39,249.35,601.628,152.374,106,356.266,243.063,93,363,2203.681
20260314B04,（内訳）自エリアからの落札量[MW],39,249.35,601.628,152.374,106,356.266,243.063,93,363,2203.681
20260314B05,募集量（TSO別）[MW],61,356,459,96,114,546,287,93,358,2370
20260314B05,応札量合計（電源属地別）[MW],32.708,631.35,1840.464,495.911,89.312,65.68,243.063,112.473,577.75,4088.711
20260314B05,落札量合計（電源属地別）[MW],19,238.35,749.73,96,89.312,65.68,243.063,93,358,1952.135
20260314B05,応札件数（電源属地別）[件],4,4,41,19,1,2,6,7,13,97
20260314B05,落札件数（電源属地別）[件],4,4,33,5,1,2,6,6,7,68
20260314B05,最高落札価格（電源属地別）[円/kW・30分],4.1,15,15,2.09,2.21,4.98,12.31,10.67,6.49,15
20260314B05,最低落札価格（電源属地別）[円/kW・30分],1.1,1.31,0.36,0.5,2.21,0.82,1.36,0.65,4.29,0.36
20260314B05,平均落札価格（電源属地別）[円/kW・30分],3.17,1.64,1.66,1.2,2.21,0.94,5.89,6.52,5.1,3.04
20260314B05,最高落札価格（TSO別）[円/kW・30分],4.1,15,15,2.09,2.21,4.98,12.31,10.67,6.49,15
20260314B05,最低落札価格（TSO別）[円/kW・30分],1.1,1.31,0.36,0.5,2.21,0.82,1.36,0.65,4.29,0.36
20260314B05,平均落札価格（TSO別）[円/kW・30分],3.17,1.64,1.66,1.2,2.21,0.94,5.89,6.52,5.1,3.04
20260314B05,落札量合計（TSO別）[MW],19,238.35,749.73,96,89.312,65.68,243.063,93,358,1952.135
20260314B05,（内訳）自エリアからの落札量[MW],19,238.35,749.73,96,89.312,65.68,243.063,93,358,1952.135
20260314B06,募集量（TSO別）[MW],61,349,459,101,110,532,284,93,351,2340
20260314B06,応札量合計（電源属地別）[MW],32.708,631.35,1806.85,430.755,9.156,47.762,243.063,156.473,411.75,3769.867
20260314B06,落札量合計（電源属地別）[MW],20,231.35,616.428,126.999,9.156,47.762,243.063,93,351,1738.758
20260314B06,応札件数（電源属地別）[件],4,4,40,18,1,2,6,7,13,95
20260314B06,落札件数（電源属地別）[件],4,4,32,5,1,2,6,4,7,65
20260314B06,最高落札価格（電源属地別）[円/kW・30分],4.1,15,15,2.34,2.21,2.98,12.42,4.77,6.37,15
