H,連系線確保量,対象年月,ブロック数,取引期間
P,速報値,202505,8,週取引
T,順方向元エリア,逆方向元エリア,週取引：連系線確保量上限値（順方向）[MW],週取引：連系線確保量上限値（逆方向）[MW],週取引：連系線確保量（順方向）[MW],週取引：連系線確保量（逆方向）[MW]
20250501B01,北海道,東北,10,150,0,134.5
20250501B01,東北,東京,0,2134.306,0,0
20250501B01,東京,中部,720.387,222.581,0,0
20250501B01,中部,関西,698.027,0,0,0
20250501B01,中部,北陸,270,0,0,0
20250501B01,北陸,関西,1183.667,301,12.081,3.081
20250501B01,関西,中国,1445.723,4307.007,16.98,31.101
20250501B01,関西_関西-中国間(東),中国_関西-中国間(東),1445.723,4307.007,16.98,3.081
20250501B01,関西_関西-中国間(西),中国_関西-中国間(西),1445.723,4307.007,0,31.101
20250501B01,関西,四国,0,70,0,0
20250501B01,中国,四国,1020,48,45,0
20250501B01,中国,九州,301.011,565.473,8,0
20250501B02,北海道,東北,10,150,10,78
20250501B02,東北,東京,0,2135.333,0,16
20250501B02,東京,中部,258.678,222.581,0,1.92
20250501B02,中部,関西,707.129,0,0,0
20250501B02,中部,北陸,270,0,0,0
20250501B02,北陸,関西,1232.377,280,12,0
20250501B02,関西,中国,790.178,4055.873,0,127.9
20250501B02,関西_関西-中国間(東),中国_関西-中国間(東),790.178,4055.873,0,82.9
20250501B02,関西_関西-中国間(西),中国_関西-中国間(西),790.178,4055.873,0,127.9
20250501B02,関西,四国,0,70,0,0
20250501B02,中国,四国,1000,60,45,0
20250501B02,中国,九州,328.306,515.9,0,26.775
20250501B03,北海道,東北,5.914,150,5.914,15
20250501B03,東北,東京,0,2135.519,0,236.086
20250501B03,東京,中部,102.996,232.258,102.996,0
20250501B03,中部,関西,311.753,0,0,0
20250501B03,中部,北陸,270,0,0,0
20250501B03,北陸,関西,854.505,0,15,0
20250501B03,関西,中国,1513.636,2547.384,135.481,42.081
20250501B03,関西_関西-中国間(東),中国_関西-中国間(東),1513.636,2547.384,135.481,42.081
20250501B03,関西_関西-中国間(西),中国_関西-中国間(西),1513.636,2547.384,98.481,42.081
20250501B03,関西,四国,0,70,0,0
20250501B03,中国,四国,840,216.023,37,0
20250501B03,中国,九州,97.16,0,12.038,0
20250501B04,北海道,東北,0,30.419,0,30.419
20250501B04,東北,東京,0,2138.246,0,278
20250501B04,東京,中部,119.806,241.935,96,0
20250501B04,中部,関西,142.348,0,0,0
20250501B04,中部,北陸,270,0,0,0
20250501B04,北陸,関西,1005.306,0,15,0
20250501B04,関西,中国,1971.798,2381.112,13.494,0
20250501B04,関西_関西-中国間(東),中国_関西-中国間(東),1971.798,2381.112,13.494,0
20250501B04,関西_関西-中国間(西),中国_関西-中国間(西),1971.798,2381.112,13.494,0
20250501B04,関西,四国,0,140,0,0
20250501B04,中国,四国,790,43.904,0,0
20250501B04,中国,九州,70,0,0,0
20250501B05,北海道,東北,0,92.335,0,85
20250501B05,東北,東京,0,2145.87,0,382
20250501B05,東京,中部,200.606,241.935,182,0
20250501B05,中部,関西,279.468,0,0,0
20250501B05,中部,北陸,270,0,0,0
20250501B05,北陸,関西,999.298,17.388,15,0
20250501B05,関西,中国,2094.302,2298.639,82.4,0
20250501B05,関西_関西-中国間(東),中国_関西-中国間(東),2094.302,2298.639,82.4,0
20250501B05,関西_関西-中国間(西),中国_関西-中国間(西),2094.302,2298.639,64.27,0
20250501B05,関西,四国,0,140,0,0
20250501B05,中国,四国,790,68.213,18.13,0
20250501B05,中国,九州,70,13.118,0,13.118
20250501B06,北海道,東北,0,150,0,100
20250501B06,東北,東京,0,2138.026,0,228
20250501B06,東京,中部,603.004,241.935,69,1.92
20250501B06,中部,関西,350.849,0,0,0
20250501B06,中部,北陸,270.645,6.452,0,0
20250501B06,北陸,関西,868.719,91.387,10,0
20250501B06,関西,中国,1597.954,2548.642,164.27,18.081
20250501B06,関西_関西-中国間(東),中国_関西-中国間(東),1597.954,2548.642,119.058,18.081
20250501B06,関西_関西-中国間(西),中国_関西-中国間(西),1597.954,2548.642,164.27,18.081
20250501B06,関西,四国,0,140,0,0
20250501B06,中国,四国,840,45.212,0,45.212
20250501B06,中国,九州,90,0,75,0
20250501B07,北海道,東北,45.123,150,0,120
20250501B07,東北,東京,0,2134.306,0,57
20250501B07,東京,中部,567.381,241.935,0,22.257
20250501B07,中部,関西,671.859,0,0,0
20250501B07,中部,北陸,270.323,79.126,0,22.257
20250501B07,北陸,関西,842.589,168.441,0,4.257
20250501B07,関西,中国,1565.4,4014.345,0,237.986
20250501B07,関西_関西-中国間(東),中国_関西-中国間(東),1565.4,4014.345,0,192.986
20250501B07,関西_関西-中国間(西),中国_関西-中国間(西),1565.4,4014.345,0,237.986
20250501B07,関西,四国,0,140,0,0
20250501B07,中国,四国,1010,48,45,0
20250501B07,中国,九州,350,245.806,0,82
20250501B08,北海道,東北,35.118,150,3,100
20250501B08,東北,東京,0,2134.306,0,27
20250501B08,東京,中部,815.91,241.935,0,235.908
20250501B08,中部,関西,729.461,0,222.926,0
20250501B08,中部,北陸,270,46.839,0,0
20250501B08,北陸,関西,734.059,0,19,0
20250501B08,関西,中国,1357.025,4348.614,70.026,0.893
20250501B08,関西_関西-中国間(東),中国_関西-中国間(東),1357.025,4348.614,70.026,0
20250501B08,関西_関西-中国間(西),中国_関西-中国間(西),1357.025,4348.614,25.919,0.893
20250501B08,関西,四国,0,140,0,0
20250501B08,中国,四国,1020,120,45,0
20250501B08,中国,九州,336.767,695.78,58.171,0
20250502B01,北海道,東北,10,150,0,134.5
20250502B01,東北,東京,0,2134.306,0,0
20250502B01,東京,中部,720.387,222.581,0,0
20250502B01,中部,関西,698.027,0,0,0
20250502B01,中部,北陸,270,0,0,0
20250502B01,北陸,関西,1183.667,301,12.081,3.081
20250502B01,関西,中国,1445.723,4307.007,16.98,31.101
20250502B01,関西_関西-中国間(東),中国_関西-中国間(東),1445.723,4307.007,16.98,3.081
20250502B01,関西_関西-中国間(西),中国_関西-中国間(西),1445.723,4307.007,0,31.101
20250502B01,関西,四国,0,140,0,0
20250502B01,中国,四国,1020,48,45,0
20250502B01,中国,九州,301.011,565.473,8,0
20250502B02,北海道,東北,10,150,10,78
20250502B02,東北,東京,0,2135.333,0,16
20250502B02,東京,中部,258.678,222.581,0,59.92
20250502B02,中部,関西,707.129,0,0,0
20250502B02,中部,北陸,270,0,0,0
20250502B02,北陸,関西,1232.377,280,12,0
20250502B02,関西,中国,790.178,4055.873,0,127.9
20250502B02,関西_関西-中国間(東),中国_関西-中国間(東),790.178,4055.873,0,82.9
20250502B02,関西_関西-中国間(西),中国_関西-中国間(西),790.178,4055.873,0,127.9
20250502B02,関西,四国,0,140,0,0
20250502B02,中国,四国,1000,60,45,0
20250502B02,中国,九州,328.306,515.9,0,64
20250502B03,北海道,東北,5.914,150,5.914,15
20250502B03,東北,東京,0,2135.519,0,236.086
20250502B03,東京,中部,102.996,232.258,102.996,0
20250502B03,中部,関西,311.753,0,0,0
20250502B03,中部,北陸,270,0,0,0
20250502B03,北陸,関西,854.505,0,15,0
20250502B03,関西,中国,1513.636,2547.384,80.61,42.081
20250502B03,関西_関西-中国間(東),中国_関西-中国間(東),1513.636,2547.384,10.61,42.081
20250502B03,関西_関西-中国間(西),中国_関西-中国間(西),1513.636,2547.384,80.61,42.081
20250502B03,関西,四国,0,140,0,0
20250502B03,中国,四国,840,216.023,0,70
20250502B03,中国,九州,97.16,0,10,0
20250502B04,北海道,東北,0,30.419,0,30.419
20250502B04,東北,東京,0,2138.246,0,278
20250502B04,東京,中部,119.806,241.935,96,0
20250502B04,中部,関西,142.348,0,0,0
20250502B04,中部,北陸,270,0,0,0
20250502B04,北陸,関西,1005.306,0,15,0
20250502B04,関西,中国,1971.798,2381.112,13.494,0
20250502B04,関西_関西-中国間(東),中国_関西-中国間(東),1971.798,2381.112,0,0
20250502B04,関西_関西-中国間(西),中国_関西-中国間(西),1971.798,2381.112,13.494,0
20250502B04,関西,四国,0,140,0,0
20250502B04,中国,四国,790,43.904,0,13.494
20250502B04,中国,九州,70,0,0,0
20250502B05,北海道,東北,0,92.335,0,92.335
20250502B05,東北,東京,0,2145.87,0,293
20250502B05,東京,中部,200.606,241.935,182,0
20250502B05,中部,関西,279.468,0,0,0
20250502B05,中部,北陸,270,0,0,0
20250502B05,北陸,関西,999.298,17.388,15,0
20250502B05,関西,中国,2094.302,2298.639,51.152,0
20250502B05,関西_関西-中国間(東),中国_関西-中国間(東),2094.302,2298.639,51.152,0
20250502B05,関西_関西-中国間(西),中国_関西-中国間(西),2094.302,2298.639,51.152,0
20250502B05,関西,四国,0,140,0,0
20250502B05,中国,四国,790,68.213,0,0
20250502B05,中国,九州,70,13.118,0,13.118
20250502B06,北海道,東北,0,150,0,100
20250502B06,東北,東京,0,2138.026,0,139
20250502B06,東京,中部,603.004,241.935,69,1.92
20250502B06,中部,関西,350.849,0,0,0
20250502B06,中部,北陸,270.645,6.452,0,0
20250502B06,北陸,関西,868.719,91.387,18.598,0
20250502B06,関西,中国,1597.954,2548.642,164.27,18.081
20250502B06,関西_関西-中国間(東),中国_関西-中国間(東),1597.954,2548.642,119.058,18.081
20250502B06,関西_関西-中国間(西),中国_関西-中国間(西),1597.954,2548.642,164.27,18.081
20250502B06,関西,四国,0,140,0,0
20250502B06,中国,四国,840,45.212,0,45.212
20250502B06,中国,九州,90,0,75,0
20250502B07,北海道,東北,45.123,150,0,120
20250502B07,東北,東京,0,2134.306,0,57
20250502B07,東京,中部,567.381,241.935,0,9.313
20250502B07,中部,関西,671.859,0,183.687,0
20250502B07,中部,北陸,270.323,79.126,0,0
20250502B07,北陸,関西,842.589,168.441,18,0
20250502B07,関西,中国,1565.4,4014.345,0,72.213
20250502B07,関西_関西-中国間(東),中国_関西-中国間(東),1565.4,4014.345,0,27.213
20250502B07,関西_関西-中国間(西),中国_関西-中国間(西),1565.4,4014.345,0,72.213
20250502B07,関西,四国,0,140,0,0
20250502B07,中国,四国,1010,48,45,0
20250502B07,中国,九州,350,245.806,31.56,0
20250502B08,北海道,東北,35.118,150,30,87
20250502B08,東北,東京,0,2134.306,0,0
20250502B08,東京,中部,815.91,241.935,0,241.935
20250502B08,中部,関西,729.461,0,160.065,0
20250502B08,中部,北陸,270,46.839,0,0
20250502B08,北陸,関西,734.059,0,19,0
20250502B08,関西,中国,1357.025,4348.614,39.193,39.028
20250502B08,関西_関西-中国間(東),中国_関西-中国間(東),1357.025,4348.614,39.193,32.028
20250502B08,関西_関西-中国間(西),中国_関西-中国間(西),1357.025,4348.614,1.193,39.028
20250502B08,関西,四国,0,140,0,0
20250502B08,中国,四国,1020,120,45,0
20250502B08,中国,九州,336.767,695.78,6,0
20250503B01,北海道,東北,10,150,0,135.99
20250503B01,東北,東京,0,2134.306,0,0
20250503B01,東京,中部,720.387,222.581,0,0
20250503B01,中部,関西,658.027,0,0,0
20250503B01,中部,北陸,270,0,0,0
20250503B01,北陸,関西,1133.667,301,9,0
20250503B01,関西,中国,1445.723,4307.007,0,31.081
20250503B01,関西_関西-中国間(東),中国_関西-中国間(東),1445.723,4307.007,0,31.081
20250503B01,関西_関西-中国間(西),中国_関西-中国間(西),1445.723,4307.007,0,31.081
20250503B01,関西,四国,0,140,0,0
20250503B01,中国,四国,1020,48,0,0
20250503B01,中国,九州,291.011,515.473,70,0
20250503B02,北海道,東北,10,150,10,78
20250503B02,東北,東京,0,2135.333,0,16
20250503B02,東京,中部,258.678,222.581,0,0
20250503B02,中部,関西,667.129,0,0,0
20250503B02,中部,北陸,270,0,0,0
20250503B02,北陸,関西,1182.377,280,12,0
20250503B02,関西,中国,790.178,4055.873,0,29.451
20250503B02,関西_関西-中国間(東),中国_関西-中国間(東),790.178,4055.873,0,29.451
20250503B02,関西_関西-中国間(西),中国_関西-中国間(西),790.178,4055.873,0,29.451
20250503B02,関西,四国,0,140,0,0
20250503B02,中国,四国,1000,60,0,0
20250503B02,中国,九州,318.306,455.9,34,0
20250503B03,北海道,東北,5.914,150,5.914,15
20250503B03,東北,東京,0,2135.519,0,236.086
20250503B03,東京,中部,102.996,232.258,102.996,0
20250503B03,中部,関西,251.753,0,0,0
20250503B03,中部,北陸,270,0,0,0
20250503B03,北陸,関西,764.505,0,15,0
20250503B03,関西,中国,1513.636,2547.384,80.61,42.081
20250503B03,関西_関西-中国間(東),中国_関西-中国間(東),1513.636,2547.384,41,42.081
20250503B03,関西_関西-中国間(西),中国_関西-中国間(西),1513.636,2547.384,80.61,42.081
20250503B03,関西,四国,0,140,0,0
20250503B03,中国,四国,840,216.023,0,39.61
20250503B03,中国,九州,97.16,0,10,0
20250503B04,北海道,東北,0,30.419,0,30.419
20250503B04,東北,東京,0,2138.246,0,279
20250503B04,東京,中部,119.806,241.935,96,0
20250503B04,中部,関西,72.348,0,0,0
20250503B04,中部,北陸,270,0,0,0
20250503B04,北陸,関西,915.306,0,15,0
20250503B04,関西,中国,1971.798,2381.112,15.494,0
20250503B04,関西_関西-中国間(東),中国_関西-中国間(東),1971.798,2381.112,13.494,0
20250503B04,関西_関西-中国間(西),中国_関西-中国間(西),1971.798,2381.112,15.494,0
20250503B04,関西,四国,0,140,0,0
20250503B04,中国,四国,790,43.904,0,2
20250503B04,中国,九州,80,0,0,0
20250503B05,北海道,東北,0,92.335,0,92.335
20250503B05,東北,東京,0,2145.87,0,294
20250503B05,東京,中部,200.606,241.935,182,0
20250503B05,中部,関西,239.468,0,0,0
20250503B05,中部,北陸,270,0,0,0
