H,連系線確保量,対象年月,ブロック数,取引期間
P,速報値,202603,8,週取引
T,順方向元エリア,逆方向元エリア,週取引：連系線確保量上限値（順方向）[MW],週取引：連系線確保量上限値（逆方向）[MW],週取引：連系線確保量（順方向）[MW],週取引：連系線確保量（逆方向）[MW]
20260301B01,北海道,東北,150,28.355,0,0
20260301B01,東北,東京,1183.589,2131.384,0,0
20260301B01,東京,中部,0,0,0,0
20260301B01,中部,関西,904.237,0,115.59,0
20260301B01,中部,北陸,0,0,0,0
20260301B01,北陸,関西,1710,0,0,0
20260301B01,関西,中国,2934,2518.387,106.101,0
20260301B01,関西_関西-中国間(東),中国_関西-中国間(東),2934,2518.387,106.101,0
20260301B01,関西_関西-中国間(西),中国_関西-中国間(西),2934,2518.387,106.101,0
20260301B01,関西,四国,0,0,0,0
20260301B01,中国,四国,0,0,0,0
20260301B01,中国,九州,363.742,0,135.73,0
20260301B02,北海道,東北,150,28.355,0,8
20260301B02,東北,東京,1304.432,2131.384,0,60
20260301B02,東京,中部,0,0,0,0
20260301B02,中部,関西,993.371,0,190.561,0
20260301B02,中部,北陸,0,0,0,0
20260301B02,北陸,関西,1710,0,14,0
20260301B02,関西,中国,2901.4,3037.097,144.141,0
20260301B02,関西_関西-中国間(東),中国_関西-中国間(東),2901.4,3037.097,129.668,0
20260301B02,関西_関西-中国間(西),中国_関西-中国間(西),2901.4,3037.097,144.141,0
20260301B02,関西,四国,0,0,0,0
20260301B02,中国,四国,0,36,0,14.473
20260301B02,中国,九州,403.742,9.65,178.62,0
20260301B03,北海道,東北,6.688,8.785,0,8.785
20260301B03,東北,東京,0,1070.255,0,99.729
20260301B03,東京,中部,0,0,0,0
20260301B03,中部,関西,521.895,0,3.557,0
20260301B03,中部,北陸,0,0,0,0
20260301B03,北陸,関西,1243.808,0,33,0
20260301B03,関西,中国,2836.2,1394.516,122.6,24.417
20260301B03,関西_関西-中国間(東),中国_関西-中国間(東),2836.2,1394.516,122.6,24.417
20260301B03,関西_関西-中国間(西),中国_関西-中国間(西),2836.2,1394.516,122.6,24.417
20260301B03,関西,四国,0,0,0,0
20260301B03,中国,四国,0,0,0,0
20260301B03,中国,九州,162.968,0,73.012,0
20260301B04,北海道,東北,9.645,97.444,0,82
20260301B04,東北,東京,0,1077.126,0,34
20260301B04,東京,中部,0,0,0,0
20260301B04,中部,関西,0,0,0,0
20260301B04,中部,北陸,0,0,0,0
20260301B04,北陸,関西,1247.832,0,4,0
20260301B04,関西,中国,2934,832.581,59,0
20260301B04,関西_関西-中国間(東),中国_関西-中国間(東),2934,832.581,59,0
20260301B04,関西_関西-中国間(西),中国_関西-中国間(西),2934,832.581,59,0
20260301B04,関西,四国,0,0,0,0
20260301B04,中国,四国,0,156,0,0
20260301B04,中国,九州,140,0,0,0
20260301B05,北海道,東北,9.645,27.324,9.645,0
20260301B05,東北,東京,0,1077.126,0,0
20260301B05,東京,中部,0,0,0,0
20260301B05,中部,関西,0,0,0,0
20260301B05,中部,北陸,0,0,0,0
20260301B05,北陸,関西,1283.013,0,9,0
20260301B05,関西,中国,2934,746.129,0,3.278
20260301B05,関西_関西-中国間(東),中国_関西-中国間(東),2934,746.129,0,3.278
20260301B05,関西_関西-中国間(西),中国_関西-中国間(西),2934,746.129,0,3.278
20260301B05,関西,四国,0,0,0,0
20260301B05,中国,四国,0,0,0,0
20260301B05,中国,九州,110,0,0,0
20260301B06,北海道,東北,14.484,15.79,0,10
20260301B06,東北,東京,0,1077.126,0,119
20260301B06,東京,中部,0,0,0,0
20260301B06,中部,関西,462.627,0,0,0
20260301B06,中部,北陸,0,0,0,0
20260301B06,北陸,関西,1300.603,0,8,0
20260301B06,関西,中国,2934,1048.71,159.126,45.955
20260301B06,関西_関西-中国間(東),中国_関西-中国間(東),2934,1048.71,159.126,45.955
20260301B06,関西_関西-中国間(西),中国_関西-中国間(西),2934,1048.71,159.126,45.955
20260301B06,関西,四国,0,0,0,0
20260301B06,中国,四国,0,0,0,0
20260301B06,中国,九州,150,0,150,0
20260301B07,北海道,東北,150,5.452,0,1
20260301B07,東北,東京,578.462,2137.384,0,105
20260301B07,東京,中部,0,0,0,0
20260301B07,中部,関西,523.756,0,343.88,0
20260301B07,中部,北陸,0,0,0,0
20260301B07,北陸,関西,1458.916,0,9,0
20260301B07,関西,中国,2934,2691.29,129.593,12.396
20260301B07,関西_関西-中国間(東),中国_関西-中国間(東),2934,2691.29,129.593,12.396
20260301B07,関西_関西-中国間(西),中国_関西-中国間(西),2934,2691.29,129.593,12.396
20260301B07,関西,四国,0,0,0,0
20260301B07,中国,四国,0,0,0,0
20260301B07,中国,九州,420,55.845,123.856,0
20260301B08,北海道,東北,150,0.72,0,0
20260301B08,東北,東京,754.806,2133.384,0,0
20260301B08,東京,中部,0,0,0,0
20260301B08,中部,関西,249.482,0,249.482,0
20260301B08,中部,北陸,0,0,0,0
20260301B08,北陸,関西,1484.699,0,20,0
20260301B08,関西,中国,2934,2604.839,215.758,0
20260301B08,関西_関西-中国間(東),中国_関西-中国間(東),2934,2604.839,215.758,0
20260301B08,関西_関西-中国間(西),中国_関西-中国間(西),2934,2604.839,215.758,0
20260301B08,関西,四国,0,0,0,0
20260301B08,中国,四国,0,0,0,0
20260301B08,中国,九州,382.409,0,129.468,0
20260302B01,北海道,東北,150,28.355,0,0
20260302B01,東北,東京,1183.589,2131.384,0,70
20260302B01,東京,中部,0,0,0,0
20260302B01,中部,関西,904.237,0,241.062,0
20260302B01,中部,北陸,0,0,0,0
20260302B01,北陸,関西,1710,0,0,0
20260302B01,関西,中国,2934,2518.387,182.278,0
20260302B01,関西_関西-中国間(東),中国_関西-中国間(東),2934,2518.387,182.278,0
20260302B01,関西_関西-中国間(西),中国_関西-中国間(西),2934,2518.387,182.278,0
20260302B01,関西,四国,0,0,0,0
20260302B01,中国,四国,0,0,0,0
20260302B01,中国,九州,363.742,0,114.168,0
20260302B02,北海道,東北,150,28.355,0,8
20260302B02,東北,東京,1304.432,2131.384,0,126.009
20260302B02,東京,中部,0,0,0,0
20260302B02,中部,関西,993.371,0,327.294,0
20260302B02,中部,北陸,0,0,0,0
20260302B02,北陸,関西,1710,0,14,0
20260302B02,関西,中国,2901.4,3037.097,263.748,0
