H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202606,一次オフライン,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260601B01,募集量（TSO別）[MW],17,34,73,67,20,78,69,7,57,422
20260601B01,応札量合計（電源属地別）[MW],7.808,7.176,44.872,28.824,0,17.578,5.947,1.93,50.898,165.033
20260601B01,落札量合計（電源属地別）[MW],1.99,7.176,44.872,28.824,0,17.578,3.958,0,47.986,152.384
20260601B01,応札件数（電源属地別）[件],4,4,23,15,0,9,3,1,24,83
20260601B01,落札件数（電源属地別）[件],1,4,23,15,0,9,2,0,23,77
20260601B01,最高落札価格（電源属地別）[円/kW・30分],0.91,15,15,15,0,14.49,12.6,0,14,15
20260601B01,最低落札価格（電源属地別）[円/kW・30分],0.91,15,2.21,14.3,0,1.48,12.6,0,7.49,0.91
20260601B01,平均落札価格（電源属地別）[円/kW・30分],0.91,15,11.98,14.51,0,13.05,12.6,0,11.05,12.3
20260601B01,最高落札価格（TSO別）[円/kW・30分],0.91,15,15,15,0,14.49,0,0,14,15
20260601B01,最低落札価格（TSO別）[円/kW・30分],0.91,15,2.21,14.3,0,1.48,0,0,7.49,0.91
20260601B01,平均落札価格（TSO別）[円/kW・30分],0.91,15,11.98,14.51,0,13.05,0,0,11.17,12.3
20260601B01,落札量合計（TSO別）[MW],1.99,7.176,44.872,28.824,0,17.578,0,0,51.944,152.384
20260601B01,（内訳）自エリアからの落札量[MW],1.99,7.176,44.872,28.824,0,17.578,0,0,47.986,148.426
20260601B02,募集量（TSO別）[MW],17,34,73,67,20,78,69,7,57,422
20260601B02,応札量合計（電源属地別）[MW],7.808,7.176,55.35,28.824,0,17.578,5.947,1.93,50.898,175.511
20260601B02,落札量合計（電源属地別）[MW],1.99,7.176,55.35,28.824,0,17.578,5.947,0,50.898,167.763
20260601B02,応札件数（電源属地別）[件],4,4,28,15,0,9,3,1,24,88
20260601B02,落札件数（電源属地別）[件],1,4,28,15,0,9,3,0,24,84
20260601B02,最高落札価格（電源属地別）[円/kW・30分],0.91,15,15,15,0,14.49,14.5,0,14.16,15
20260601B02,最低落札価格（電源属地別）[円/kW・30分],0.91,15,1.95,14.3,0,1.48,12.6,0,7.49,0.91
20260601B02,平均落札価格（電源属地別）[円/kW・30分],0.91,15,11.44,14.52,0,13.07,13.24,0,11.07,12.12
20260601B02,最高落札価格（TSO別）[円/kW・30分],0.91,15,15,15,0,14.49,0,0,14.5,15
20260601B02,最低落札価格（TSO別）[円/kW・30分],0.91,15,1.95,14.3,0,1.48,0,0,7.49,0.91
20260601B02,平均落札価格（TSO別）[円/kW・30分],0.91,15,11.44,14.52,0,13.07,0,0,11.29,12.12
20260601B02,落札量合計（TSO別）[MW],1.99,7.176,55.35,28.824,0,17.578,0,0,56.845,167.763
20260601B02,（内訳）自エリアからの落札量[MW],1.99,7.176,55.35,28.824,0,17.578,0,0,50.898,161.816
20260601B03,募集量（TSO別）[MW],17,34,73,67,20,78,69,7,57,422
20260601B03,応札量合計（電源属地別）[MW],7.808,7.176,60.75,44.672,0,17.578,9.923,1.93,52.698,202.535
20260601B03,落札量合計（電源属地別）[MW],1.99,7.176,60.75,44.672,0,17.578,5.946,0,52.405,190.517
20260601B03,応札件数（電源属地別）[件],4,4,31,23,0,9,5,1,25,102
20260601B03,落札件数（電源属地別）[件],1,4,31,23,0,9,3,0,25,96
20260601B03,最高落札価格（電源属地別）[円/kW・30分],0.91,15,15,15,0,14.49,14.49,0,14.16,15
20260601B03,最低落札価格（電源属地別）[円/kW・30分],0.91,15,1.95,14.35,0,1.48,12.6,0,7.49,0.91
20260601B03,平均落札価格（電源属地別）[円/kW・30分],0.91,15,11.76,14.49,0,12.34,13.23,0,11.52,12.44
20260601B03,最高落札価格（TSO別）[円/kW・30分],0.91,15,15,15,0,14.49,0,0,14.49,15
20260601B03,最低落札価格（TSO別）[円/kW・30分],0.91,15,1.95,14.35,0,1.48,0,0,7.49,0.91
20260601B03,平均落札価格（TSO別）[円/kW・30分],0.91,15,11.76,14.49,0,12.34,0,0,11.69,12.44
20260601B03,落札量合計（TSO別）[MW],1.99,7.176,60.75,44.672,0,17.578,0,0,58.351,190.517
20260601B03,（内訳）自エリアからの落札量[MW],1.99,7.176,60.75,44.672,0,17.578,0,0,52.405,184.571
20260601B04,募集量（TSO別）[MW],17,34,73,67,20,78,69,7,57,422
20260601B04,応札量合計（電源属地別）[MW],7.808,7.176,64.528,44.672,0,17.578,11.895,1.93,54.687,210.274
20260601B04,落札量合計（電源属地別）[MW],0,7.176,64.528,44.672,0,17.578,5.93,0,42.815,182.699
20260601B04,応札件数（電源属地別）[件],4,4,33,23,0,9,6,1,26,106
20260601B04,落札件数（電源属地別）[件],0,4,33,23,0,9,3,0,20,92
20260601B04,最高落札価格（電源属地別）[円/kW・30分],0,15,15,15,0,14.49,12.62,0,13.32,15
20260601B04,最低落札価格（電源属地別）[円/kW・30分],0,15,1.95,13.9,0,1.48,12.6,0,7.49,1.48
20260601B04,平均落札価格（電源属地別）[円/kW・30分],0,15,11.6,14.41,0,12.17,12.61,0,10.87,12.34
20260601B04,最高落札価格（TSO別）[円/kW・30分],0,15,15,15,0,14.49,0,0,13.32,15
20260601B04,最低落札価格（TSO別）[円/kW・30分],0,15,1.95,13.9,0,1.48,0,0,7.49,1.48
20260601B04,平均落札価格（TSO別）[円/kW・30分],0,15,11.6,14.41,0,12.17,0,0,11.08,12.34
20260601B04,落札量合計（TSO別）[MW],0,7.176,64.528,44.672,0,17.578,0,0,48.745,182.699
20260601B04,（内訳）自エリアからの落札量[MW],0,7.176,64.528,44.672,0,17.578,0,0,42.815,176.769
20260601B05,募集量（TSO別）[MW],17,34,71,66,20,77,69,7,56,417
20260601B05,応札量合計（電源属地別）[MW],7.808,7.176,56.548,32.77,0,15.58,11.895,1.93,54.687,188.394
20260601B05,落札量合計（電源属地別）[MW],0,7.176,56.548,32.77,0,15.58,5.93,0,51.418,169.422
20260601B05,応札件数（電源属地別）[件],4,4,29,17,0,8,6,1,26,95
20260601B05,落札件数（電源属地別）[件],0,4,29,17,0,8,3,0,25,86
20260601B05,最高落札価格（電源属地別）[円/kW・30分],0,15,15,15,0,12.5,12.62,0,14,15
20260601B05,最低落札価格（電源属地別）[円/kW・30分],0,15,1.95,7.2,0,1.48,12.6,0,6.95,1.48
20260601B05,平均落札価格（電源属地別）[円/kW・30分],0,15,11.12,13.62,0,10.54,12.61,0,10.64,11.62
20260601B05,最高落札価格（TSO別）[円/kW・30分],0,15,15,15,0,12.5,0,0,14,15
20260601B05,最低落札価格（TSO別）[円/kW・30分],0,15,1.95,7.2,0,1.48,0,0,6.95,1.48
20260601B05,平均落札価格（TSO別）[円/kW・30分],0,15,11.12,13.62,0,10.54,0,0,10.84,11.62
20260601B05,落札量合計（TSO別）[MW],0,7.176,56.548,32.77,0,15.58,0,0,57.348,169.422
20260601B05,（内訳）自エリアからの落札量[MW],0,7.176,56.548,32.77,0,15.58,0,0,51.418,163.492
20260601B06,募集量（TSO別）[MW],17,34,70,66,20,76,69,7,56,415
20260601B06,応札量合計（電源属地別）[MW],7.808,5.18,56.548,32.77,0,13.73,11.895,1.93,54.687,184.548
20260601B06,落札量合計（電源属地別）[MW],0,5.18,56.548,32.77,0,13.73,5.93,0,51.332,165.49
20260601B06,応札件数（電源属地別）[件],4,3,29,17,0,7,6,1,26,93
20260601B06,落札件数（電源属地別）[件],0,3,29,17,0,7,3,0,25,84
20260601B06,最高落札価格（電源属地別）[円/kW・30分],0,15,15,15,0,14.29,12.62,0,14,15
20260601B06,最低落札価格（電源属地別）[円/kW・30分],0,15,1.95,13.4,0,14,12.6,0,6.95,1.95
20260601B06,平均落札価格（電源属地別）[円/kW・30分],0,15,11.12,14.28,0,14.12,12.61,0,10.62,12.01
20260601B06,最高落札価格（TSO別）[円/kW・30分],0,15,15,14.8,15,15,12.62,0,14,15
20260601B06,最低落札価格（TSO別）[円/kW・30分],0,15,1.95,13.5,14.49,13.4,12.6,0,6.95,1.95
20260601B06,平均落札価格（TSO別）[円/kW・30分],0,15,11.12,14.3,14.53,14.14,12.61,0,10.68,12.01
20260601B06,落札量合計（TSO別）[MW],0,5.18,56.548,12.266,5.846,28.388,4.262,0,53,165.49
20260601B06,（内訳）自エリアからの落札量[MW],0,5.18,56.548,12.266,0,13.73,4.262,0,51.332,143.318
20260601B07,募集量（TSO別）[MW],16,34,69,65,20,76,69,7,57,413
20260601B07,応札量合計（電源属地別）[MW],7.808,7.176,66.527,42.784,0,15.798,18.827,1.93,50.444,211.294
20260601B07,落札量合計（電源属地別）[MW],1.99,7.176,66.527,42.784,0,15.798,18.827,0,50.444,203.546
20260601B07,応札件数（電源属地別）[件],4,4,34,22,0,8,10,1,24,107
20260601B07,落札件数（電源属地別）[件],1,4,34,22,0,8,10,0,24,103
20260601B07,最高落札価格（電源属地別）[円/kW・30分],0.93,15,15,15,0,14.49,14.5,0,15,15
20260601B07,最低落札価格（電源属地別）[円/kW・30分],0.93,15,1.95,13.5,0,11.48,11.36,0,4.25,0.93
20260601B07,平均落札価格（電源属地別）[円/kW・30分],0.93,15,11.6,14.42,0,13.69,13.63,0,10.61,12.31
20260601B07,最高落札価格（TSO別）[円/kW・30分],0.93,15,15,14.49,15,14.75,14.5,0,15,15
20260601B07,最低落札価格（TSO別）[円/kW・30分],0.93,15,1.95,14.49,13.5,11.48,11.36,0,4.25,0.93
20260601B07,平均落札価格（TSO別）[円/kW・30分],0.93,15,11.6,14.49,14.43,14.09,13.63,0,10.61,12.31
20260601B07,落札量合計（TSO別）[MW],1.99,7.176,66.527,1.894,20.506,36.182,18.827,0,50.444,203.546
20260601B07,（内訳）自エリアからの落札量[MW],1.99,7.176,66.527,1.894,0,15.798,18.827,0,50.444,162.656
20260601B08,募集量（TSO別）[MW],16,34,70,65,20,77,69,7,57,415
20260601B08,応札量合計（電源属地別）[MW],7.808,7.176,64.607,42.784,0,15.798,18.827,1.93,50.444,209.374
20260601B08,落札量合計（電源属地別）[MW],0,7.176,64.607,42.784,0,15.798,18.827,0,7.65,156.842
20260601B08,応札件数（電源属地別）[件],4,4,33,22,0,8,10,1,24,106
20260601B08,落札件数（電源属地別）[件],0,4,33,22,0,8,10,0,1,78
20260601B08,最高落札価格（電源属地別）[円/kW・30分],0,15,15,15,0,14.49,14.5,0,4.5,15
20260601B08,最低落札価格（電源属地別）[円/kW・30分],0,15,1.95,14.35,0,11.98,11.36,0,4.5,1.95
20260601B08,平均落札価格（電源属地別）[円/kW・30分],0,15,11.5,14.52,0,13.82,13.63,0,4.5,12.63
20260601B08,最高落札価格（TSO別）[円/kW・30分],0,15,15,15,15,15,14.5,0,4.5,15
20260601B08,最低落札価格（TSO別）[円/kW・30分],0,15,1.95,14.35,14.49,11.98,11.36,0,4.5,1.95
20260601B08,平均落札価格（TSO別）[円/kW・30分],0,15,11.5,14.49,14.64,14.09,13.63,0,4.5,12.63
20260601B08,落札量合計（TSO別）[MW],0,7.176,64.607,27.452,5.578,25.552,18.827,0,7.65,156.842
20260601B08,（内訳）自エリアからの落札量[MW],0,7.176,64.607,27.452,0,15.798,18.827,0,7.65,141.51
20260601B09,募集量（TSO別）[MW],16,34,71,65,20,78,69,8,57,418
20260601B09,応札量合計（電源属地別）[MW],7.808,7.176,64.607,42.784,0,17.648,18.827,1.93,54.272,215.052
20260601B09,落札量合計（電源属地別）[MW],1.99,7.176,64.607,42.784,0,17.648,0,0,7.65,141.855
20260601B09,応札件数（電源属地別）[件],4,4,33,22,0,9,10,1,26,109
20260601B09,落札件数（電源属地別）[件],1,4,33,22,0,9,0,0,1,70
20260601B09,最高落札価格（電源属地別）[円/kW・30分],3.19,15,15,15,0,14.49,0,0,4,15
20260601B09,最低落札価格（電源属地別）[円/kW・30分],3.19,15,1.95,14.35,0,1.48,0,0,4,1.48
20260601B09,平均落札価格（電源属地別）[円/kW・30分],3.19,15,11.5,14.54,0,13.01,0,0,4,12.26
20260601B09,最高落札価格（TSO別）[円/kW・30分],3.19,15,15,15,14.49,15,0,0,4,15
20260601B09,最低落札価格（TSO別）[円/kW・30分],3.19,15,1.95,14.39,14.35,1.48,0,0,4,1.48
20260601B09,平均落札価格（TSO別）[円/kW・30分],3.19,15,11.5,14.53,14.46,13.81,0,0,4,12.26
20260601B09,落札量合計（TSO別）[MW],1.99,7.176,64.607,11.115,13.858,35.459,0,0,7.65,141.855
20260601B09,（内訳）自エリアからの落札量[MW],1.99,7.176,64.607,11.115,0,17.648,0,0,7.65,110.186
20260601B10,募集量（TSO別）[MW],16,34,72,65,20,78,69,8,57,419
20260601B10,応札量合計（電源属地別）[MW],7.808,7.176,68.377,42.784,0,19.557,18.827,1.93,50.783,217.242
20260601B10,落札量合計（電源属地別）[MW],0,7.176,68.377,42.784,0,19.557,18.827,0,7.65,164.371
20260601B10,応札件数（電源属地別）[件],4,4,35,22,0,10,10,1,24,110
20260601B10,落札件数（電源属地別）[件],0,4,35,22,0,10,10,0,1,82
20260601B10,最高落札価格（電源属地別）[円/kW・30分],0,15,15,15,0,14.88,14.5,0,4,15
20260601B10,最低落札価格（電源属地別）[円/kW・30分],0,15,1.95,14.35,0,1.48,11.36,0,4,1.48
20260601B10,平均落札価格（電源属地別）[円/kW・30分],0,15,11.42,14.53,0,13.41,13.63,0,4,12.53
20260601B10,最高落札価格（TSO別）[円/kW・30分],0,15,15,15,0,14.88,14.5,0,4,15
20260601B10,最低落札価格（TSO別）[円/kW・30分],0,15,1.95,14.35,0,1.48,11.36,0,4,1.48
20260601B10,平均落札価格（TSO別）[円/kW・30分],0,15,11.42,14.53,0,13.41,13.63,0,4,12.53
20260601B10,落札量合計（TSO別）[MW],0,7.176,68.377,42.784,0,19.557,18.827,0,7.65,164.371
20260601B10,（内訳）自エリアからの落札量[MW],0,7.176,68.377,42.784,0,19.557,18.827,0,7.65,164.371
20260601B11,募集量（TSO別）[MW],16,34,72,65,20,78,69,8,57,419
20260601B11,応札量合計（電源属地別）[MW],7.808,7.176,70.376,50.615,0,19.557,18.827,1.93,54.572,230.861
20260601B11,落札量合計（電源属地別）[MW],1.99,7.176,70.376,50.615,0,19.557,18.827,0,13.468,182.009
20260601B11,応札件数（電源属地別）[件],4,4,36,26,0,10,10,1,26,117
20260601B11,落札件数（電源属地別）[件],1,4,36,26,0,10,10,0,4,91
20260601B11,最高落札価格（電源属地別）[円/kW・30分],0.91,15,15,15,0,14.49,14.5,0,4.68,15
20260601B11,最低落札価格（電源属地別）[円/kW・30分],0.91,15,1.95,14,0,1.48,11.36,0,4,0.91
20260601B11,平均落札価格（電源属地別）[円/kW・30分],0.91,15,11.47,14.45,0,13.19,13.63,0,4.1,12.19
20260601B11,最高落札価格（TSO別）[円/kW・30分],0.91,15,15,15,0,14.49,14.5,0,4.68,15
20260601B11,最低落札価格（TSO別）[円/kW・30分],0.91,15,1.95,14,0,1.48,11.36,0,4,0.91
20260601B11,平均落札価格（TSO別）[円/kW・30分],0.91,15,11.47,14.45,0,13.19,13.63,0,4.1,12.19
20260601B11,落札量合計（TSO別）[MW],1.99,7.176,70.376,50.615,0,19.557,18.827,0,13.468,182.009
20260601B11,（内訳）自エリアからの落札量[MW],1.99,7.176,70.376,50.615,0,19.557,18.827,0,13.468,182.009
20260601B12,募集量（TSO別）[MW],16,34,72,65,20,78,69,8,57,419
20260601B12,応札量合計（電源属地別）[MW],7.808,5.18,70.376,49.115,0,19.557,18.827,1.93,54.572,227.365
20260601B12,落札量合計（電源属地別）[MW],1.99,5.18,70.376,49.115,0,19.557,18.827,0,13.468,178.513
20260601B12,応札件数（電源属地別）[件],4,3,36,25,0,10,10,1,26,115
20260601B12,落札件数（電源属地別）[件],1,3,36,25,0,10,10,0,4,89
20260601B12,最高落札価格（電源属地別）[円/kW・30分],0.91,15,15,14.8,0,14.49,14.5,0,4.43,15
20260601B12,最低落札価格（電源属地別）[円/kW・30分],0.91,15,1.95,14,0,1.48,11.36,0,3.7,0.91
20260601B12,平均落札価格（電源属地別）[円/kW・30分],0.91,15,11.47,14.4,0,12.69,13.63,0,3.89,12.05
20260601B12,最高落札価格（TSO別）[円/kW・30分],0.91,15,15,14.8,0,14.49,14.5,0,4.43,15
20260601B12,最低落札価格（TSO別）[円/kW・30分],0.91,15,1.95,14,0,1.48,11.36,0,3.7,0.91
20260601B12,平均落札価格（TSO別）[円/kW・30分],0.91,15,11.47,14.4,0,12.69,13.63,0,3.89,12.05
20260601B12,落札量合計（TSO別）[MW],1.99,5.18,70.376,49.115,0,19.557,18.827,0,13.468,178.513
