H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202608,二次調整力2,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260801B01,募集量（TSO別）[MW],49,170,0,186,34,44,0,30,119,632
20260801B01,応札量合計（電源属地別）[MW],251.69,312,1350.245,462.469,0,0,234.035,110,302.98,3023.419
20260801B01,落札量合計（電源属地別）[MW],74,255,721.083,383.904,0,0,158.933,110,154.341,1857.261
20260801B01,応札件数（電源属地別）[件],5,4,19,7,0,0,7,6,8,56
20260801B01,落札件数（電源属地別）[件],4,4,16,7,0,0,7,6,6,50
20260801B01,最高落札価格（電源属地別）[円/kW・30分],4,10.5,2.12,2.81,0,0,3.72,1.9,5.65,10.5
20260801B01,最低落札価格（電源属地別）[円/kW・30分],1.01,7.3,1.02,1.78,0,0,0.39,0.38,2.42,0.38
20260801B01,平均落札価格（電源属地別）[円/kW・30分],1.17,9.51,1.67,2.05,0,0,1.57,0.78,5.18,3.04
20260801B01,最高落札価格（TSO別）[円/kW・30分],10.42,10.5,2.12,2.81,2.15,2.15,3.72,1.9,5.65,10.5
20260801B01,最低落札価格（TSO別）[円/kW・30分],1.01,7.3,1.02,1.78,1.56,0.38,0.39,0.38,0.39,0.38
20260801B01,平均落札価格（TSO別）[円/kW・30分],3.14,9.44,1.67,2.06,1.8,0.91,2.15,0.93,4.01,3.04
20260801B01,落札量合計（TSO別）[MW],94,235,721.083,345,34,44,101,79.178,204,1857.261
20260801B01,（内訳）自エリアからの落札量[MW],74,235,721.083,345,0,0,101,79.178,154.341,1709.602
20260801B02,募集量（TSO別）[MW],50,170,0,186,34,44,0,30,119,633
20260801B02,応札量合計（電源属地別）[MW],100.69,312,575.801,208.077,0,0,164.815,110,302.98,1774.363
20260801B02,落札量合計（電源属地別）[MW],94,255,575.801,208.077,0,0,150.91,83,302.98,1669.768
20260801B02,応札件数（電源属地別）[件],5,4,11,2,0,0,7,6,8,43
20260801B02,落札件数（電源属地別）[件],3,4,11,2,0,0,7,4,8,39
20260801B02,最高落札価格（電源属地別）[円/kW・30分],2,12.17,2.54,0.94,0,0,3.78,1.8,6.3,12.17
20260801B02,最低落札価格（電源属地別）[円/kW・30分],0.98,8.51,0.97,0.39,0,0,0.39,0.38,2.42,0.38
20260801B02,平均落札価格（電源属地別）[円/kW・30分],1.01,11,1.93,0.78,0,0,1.95,0.45,3.87,3.4
20260801B02,最高落札価格（TSO別）[円/kW・30分],2,12.17,2.54,0.94,1.56,4.9,3.78,1.8,6.3,12.17
20260801B02,最低落札価格（TSO別）[円/kW・30分],0.98,8.51,0.97,0.39,0.39,0.39,0.39,0.38,2.42,0.38
20260801B02,平均落札価格（TSO別）[円/kW・30分],1.01,11,1.93,0.78,0.96,2.12,2.36,0.45,4,3.4
20260801B02,落札量合計（TSO別）[MW],94,255,575.801,208.077,34,44,101,83,274.89,1669.768
20260801B02,（内訳）自エリアからの落札量[MW],94,255,575.801,208.077,0,0,101,83,274.89,1591.768
20260801B03,募集量（TSO別）[MW],51,170,0,186,34,44,0,30,119,634
20260801B03,応札量合計（電源属地別）[MW],76.59,312,773.376,351.077,0,0,161.117,110,327.98,2112.14
20260801B03,落札量合計（電源属地別）[MW],76.59,255,584.154,351.077,0,0,147.212,83,327.98,1825.013
20260801B03,応札件数（電源属地別）[件],5,4,13,3,0,0,7,6,9,47
20260801B03,落札件数（電源属地別）[件],5,4,13,3,0,0,7,4,9,45
20260801B03,最高落札価格（電源属地別）[円/kW・30分],4,13.65,2.63,2.83,0,0,3.72,1.8,7.2,13.65
20260801B03,最低落札価格（電源属地別）[円/kW・30分],1.01,9.54,1.44,0.87,0,0,0.39,0.38,0.69,0.38
20260801B03,平均落札価格（電源属地別）[円/kW・30分],1.23,12.26,1.85,1.77,0,0,1.96,0.45,2.05,3.25
20260801B03,最高落札価格（TSO別）[円/kW・30分],9.54,13.65,2.63,2.83,7.2,1.56,3.72,1.8,7.2,13.65
20260801B03,最低落札価格（TSO別）[円/kW・30分],1.01,9.54,1.44,0.87,0.39,0.39,0.39,0.38,0.69,0.38
20260801B03,平均落札価格（TSO別）[円/kW・30分],2.19,12.37,1.85,1.78,1.18,1.27,2.21,0.45,2.14,3.25
20260801B03,落札量合計（TSO別）[MW],86.59,245,584.154,345,34,44,101,83,302.269,1825.013
20260801B03,（内訳）自エリアからの落札量[MW],76.59,245,584.154,345,0,0,101,83,302.269,1737.013
20260801B04,募集量（TSO別）[MW],51,167,0,181,34,28,0,28,111,600
20260801B04,応札量合計（電源属地別）[MW],102.59,312,1228.559,352.077,0,0,234.035,110,363.98,2703.241
20260801B04,落札量合計（電源属地別）[MW],93,255,624.729,352.077,0,0,138.174,83,329.554,1875.534
