H,連系線確保量,対象年月,ブロック数,市場種別
P,確報値,202606,48,三次2市場
T,順方向元エリア,逆方向元エリア,三次2市場：連系線確保量上限値（順方向）[MW],三次2市場：連系線確保量上限値（逆方向）[MW],三次2市場：連系線確保量（順方向）[MW],三次2市場：連系線確保量（逆方向）[MW]
20260601B01,北海道,東北,0,75,0,0
20260601B01,東北,東京,627.796,2259,0,0
20260601B01,東京,中部,713.665,0,0,0
20260601B01,中部関西,北陸,1821,745.966,0,0
20260601B01,中部,北陸関西,1166.964,0,0,0
20260601B01,中部北陸,関西,1245.964,885.215,0,0
20260601B01,関西,中国,2584.382,0,0,0
20260601B01,関西_関西-中国間(東),中国_関西-中国間(東),2584.382,0,0,0
20260601B01,関西_関西-中国間(西),中国_関西-中国間(西),2584.382,0,0,0
20260601B01,関西,四国,0,0,0,0
20260601B01,中国,四国,1200,0,0,0
20260601B01,中国,九州,504.986,0,0,0
20260601B02,北海道,東北,0,75,0,3
20260601B02,東北,東京,399.296,2224,0,3
20260601B02,東京,中部,619.6,0,2,0
20260601B02,中部関西,北陸,1821,738.366,0,0
20260601B02,中部,北陸関西,1153.592,0,2,0
20260601B02,中部北陸,関西,1232.592,892.815,2,0
20260601B02,関西,中国,2571.01,0,2,0
20260601B02,関西_関西-中国間(東),中国_関西-中国間(東),2571.01,0,2,0
20260601B02,関西_関西-中国間(西),中国_関西-中国間(西),2571.01,0,2,0
20260601B02,関西,四国,0,0,0,0
20260601B02,中国,四国,1200,0,1,0
20260601B02,中国,九州,499.176,0,0,0
20260601B03,北海道,東北,0,75,0,3
20260601B03,東北,東京,457.896,2224,0,3
20260601B03,東京,中部,276.1,159.532,2,0
20260601B03,中部関西,北陸,1821,701.466,0,0
20260601B03,中部,北陸関西,1154.592,0,2,0
20260601B03,中部北陸,関西,1233.592,929.715,2,0
20260601B03,関西,中国,2570.01,0,2,0
20260601B03,関西_関西-中国間(東),中国_関西-中国間(東),2570.01,0,2,0
20260601B03,関西_関西-中国間(西),中国_関西-中国間(西),2570.01,0,2,0
20260601B03,関西,四国,0,0,0,0
20260601B03,中国,四国,1200,0,0,0
20260601B03,中国,九州,499.405,0,1,0
20260601B04,北海道,東北,0,75,0,3
20260601B04,東北,東京,477.896,2224,0,3
20260601B04,東京,中部,311.097,72.023,2,0
20260601B04,中部関西,北陸,1822,716.966,0,0
20260601B04,中部,北陸関西,1161.592,0,2,0
20260601B04,中部北陸,関西,1239.592,914.215,2,0
20260601B04,関西,中国,2572.01,0,2,0
20260601B04,関西_関西-中国間(東),中国_関西-中国間(東),2572.01,0,2,0
20260601B04,関西_関西-中国間(西),中国_関西-中国間(西),2572.01,0,2,0
20260601B04,関西,四国,0,0,0,0
20260601B04,中国,四国,1200,0,0,0
20260601B04,中国,九州,491.815,0,1,0
20260601B05,北海道,東北,0,75,0,3
20260601B05,東北,東京,540.396,2229.392,0,3
20260601B05,東京,中部,147.197,216.824,2,0
20260601B05,中部関西,北陸,1821,707.766,0,0
20260601B05,中部,北陸関西,1032.691,0,2,0
20260601B05,中部北陸,関西,1111.691,923.415,2,0
20260601B05,関西,中国,2580.01,0,2,0
20260601B05,関西_関西-中国間(東),中国_関西-中国間(東),2580.01,0,2,0
20260601B05,関西_関西-中国間(西),中国_関西-中国間(西),2580.01,0,2,0
20260601B05,関西,四国,0,0,0,0
20260601B05,中国,四国,1200,0,1,0
20260601B05,中国,九州,507.418,0,0,0
20260601B06,北海道,東北,0,75,0,3
20260601B06,東北,東京,883.596,2232,0,3
20260601B06,東京,中部,85.497,409.132,2,0
20260601B06,中部関西,北陸,1821,756.066,0,0
20260601B06,中部,北陸関西,1011.691,0,2,0
20260601B06,中部北陸,関西,1090.691,875.115,2,0
20260601B06,関西,中国,2548.01,0,2,0
20260601B06,関西_関西-中国間(東),中国_関西-中国間(東),2548.01,0,2,0
20260601B06,関西_関西-中国間(西),中国_関西-中国間(西),2589.01,0,2,0
20260601B06,関西,四国,0,0,0,0
20260601B06,中国,四国,1159,0,1,0
20260601B06,中国,九州,526.332,0,0,0
20260601B07,北海道,東北,0,75,0,9
20260601B07,東北,東京,986.034,2230,0,9
20260601B07,東京,中部,157.666,428.048,0,0
