H,連系線確保量,対象年月,ブロック数,市場種別
P,速報値,202605,48,DCM
T,順方向元エリア,逆方向元エリア,DCM：連系線確保量上限値（順方向）[MW],DCM：連系線確保量上限値（逆方向）[MW],DCM：連系線確保量（順方向）[MW],DCM：連系線確保量（逆方向）[MW]
20260501B01,北海道,東北,71.944,9.724,0,9.724
20260501B01,東北,東京,680.02,2360,0,0
20260501B01,東京,中部,182.592,0,182.592,0
20260501B01,中部関西,北陸,1519.757,1612.164,38.195,0
20260501B01,中部,北陸関西,1590,0,286.23,0
20260501B01,中部北陸,関西,1590,0,248.035,0
20260501B01,関西,中国,4600,2673.663,49.035,127.931
20260501B01,関西_関西-中国間(東),中国_関西-中国間(東),4600,2673.663,49.035,127.931
20260501B01,関西_関西-中国間(西),中国_関西-中国間(西),4600,2673.663,41.035,56.458
20260501B01,関西,四国,0,0,0,0
20260501B01,中国,四国,1200,528.438,8,71.473
20260501B01,中国,九州,0,1096.396,0,0
20260501B02,北海道,東北,41.744,39.924,0,39.924
20260501B02,東北,東京,670.22,2360,0,27.924
20260501B02,東京,中部,182.592,0,182.592,0
20260501B02,中部関西,北陸,1676.057,1455.864,77,0
20260501B02,中部,北陸関西,1590,0,433.379,0
20260501B02,中部北陸,関西,1590,0,356.379,0
20260501B02,関西,中国,4600,1874.275,220.005,84.2
20260501B02,関西_関西-中国間(東),中国_関西-中国間(東),4600,1874.275,220.005,84.2
20260501B02,関西_関西-中国間(西),中国_関西-中国間(西),4600,1874.275,183.33,20.052
20260501B02,関西,四国,0,0,0,0
20260501B02,中国,四国,1200,282.638,44,71.473
20260501B02,中国,九州,618.17,444.596,181.691,0
20260501B03,北海道,東北,75,0,0,0
20260501B03,東北,東京,839.52,2360,0,0
20260501B03,東京,中部,182.592,0,182.592,0
20260501B03,中部関西,北陸,1751.457,1380.464,77,0
20260501B03,中部,北陸関西,1590,0,435.379,0
20260501B03,中部北陸,関西,1590,0,358.379,0
20260501B03,関西,中国,4600,2202.399,192.913,84.2
20260501B03,関西_関西-中国間(東),中国_関西-中国間(東),4600,2202.399,192.913,84.2
20260501B03,関西_関西-中国間(西),中国_関西-中国間(西),4600,2202.399,168.524,20.052
20260501B03,関西,四国,0,0,0,0
20260501B03,中国,四国,1200,314.438,29.784,69.543
20260501B03,中国,九州,282.97,769.796,195.861,0
20260501B04,北海道,東北,75,0,0,0
20260501B04,東北,東京,818.92,2360,0,0
20260501B04,東京,中部,182.592,0,182.592,0
20260501B04,中部関西,北陸,1701.957,1429.964,75,0
